schoolid,schoolName,city,zip,lowGrade,highGrade,schoolLevel,isCharterSchool,isMagnetSchool,isVirtualSchool,isTitleISchool,rank,rankOf,rankStars,rankLevel,rankStatewidePercentage,averageStandardScore,isPrivate
64098009004,Lincoln Elementary,Ventura,93001,K,5,Elementary,No,No,No,Yes,3509,5789,2,Elementary,39.39,35.26367,FALSE
64098006761,Pierpont Elementary,Ventura,93001,K,5,Elementary,No,No,No,No,1074,5789,4,Elementary,81.45,81.95574,FALSE
64098006767,Sheridan Way Elementary,Ventura,93001,K,5,Elementary,No,Yes,No,Yes,4913,5789,1,Elementary,15.13,18.84756,FALSE
69999942355,Solimar Academy,Ventura,93001,2,11,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
60219311829,Ventura Charter School of Arts and Global Education,Ventura,93001,K,8,Elementary,Yes,No,No,(n/a),1251,5789,4,Elementary,78.39,78.08246,FALSE
69999948703,Ventura Christian Academy,Ventura,93001,K,12,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
62955004565,Bella Vista Elementary,Desert Hot Springs,92240,K,5,Elementary,No,No,No,Yes,4755,5789,1,Elementary,17.86,20.46404,FALSE
62955001025,Bubbling Wells Elementary,Desert Hot Springs,92240,K,5,Elementary,No,No,No,Yes,4592,5789,1,Elementary,20.68,22.43336,FALSE
62955012316,Cabot Yerxa Elementary,Desert Hot Springs,92240,K,5,Elementary,No,No,No,Yes,4573,5789,1,Elementary,21.01,22.63904,FALSE
62955008267,Desert Hot Springs High,Desert Hot Springs,92240,9,12,High,No,No,No,Yes,1365,2133,2,High,36.01,33.69122,FALSE
62955009602,Desert Springs Middle,Desert Hot Springs,92240,6,8,Middle,No,No,No,Yes,2131,2715,1,Middle,21.51,21.23103,FALSE
62955007810,Julius Corsini Elementary,Desert Hot Springs,92240,K,5,Elementary,No,No,No,Yes,4856,5789,1,Elementary,16.12,19.39283,FALSE
62955012795,Painted Hills Middle,Desert Hot Springs,92240,6,8,Middle,No,No,No,Yes,2413,2715,1,Middle,11.12,14.2235,FALSE
62955007602,Two Bunch Palms Elementary,Desert Hot Springs,92240,K,5,Elementary,No,No,No,Yes,4723,5789,1,Elementary,18.41,20.82039,FALSE
62460003686,Ada Givens Elementary,Merced,95340,K,6,Elementary,No,No,No,Yes,3442,5789,2,Elementary,40.54,36.24275,FALSE
62460009581,Alicia Reyes Elementary,Merced,95340,K,6,Elementary,No,No,No,Yes,4993,5789,1,Elementary,13.75,17.98289,FALSE
62460008899,Allan Peterson Elementary,Merced,95340,K,6,Elementary,No,No,No,Yes,1858,5789,3,Elementary,67.9,64.5425,FALSE
62460003687,Charles Wright Elementary,Merced,95340,K,6,Elementary,No,No,No,Yes,4642,5789,1,Elementary,19.81,21.78781,FALSE
62460007539,Don Stowell Elementary,Merced,95340,K,6,Elementary,No,No,No,Yes,5306,5789,0,Elementary,8.34,14.07649,FALSE
62460003688,Donn B. Chenoweth Elementary,Merced,95340,K,6,Elementary,No,No,No,Yes,2065,5789,3,Elementary,64.33,60.11618,FALSE
69999906708,Harest Christian School,Merced,95340,PK,12,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
62460003307,Herbert H. Cruickshank Middle,Merced,95340,7,8,Middle,No,No,No,Yes,1359,2715,3,Middle,49.94,42.68904,FALSE
62460003690,Herbert Hoover Middle,Merced,95340,7,8,Middle,No,No,No,Yes,1857,2715,2,Middle,31.6,28.32053,FALSE
62466008164,Independence High (Alternative),Merced,95340,9,12,High,No,No,No,Yes,1556,2133,1,High,27.05,22.8884,FALSE
62271002889,Canoga Park Elementary,Canoga Park,91303,K,5,Elementary,No,No,No,Yes,4841,5789,1,Elementary,16.38,19.49188,FALSE
62271002890,Canoga Park Senior High,Canoga Park,91303,9,12,High,No,Yes,No,Yes,1248,2133,2,High,41.49,38.52061,FALSE
62271003072,Hart Street Elementary,Canoga Park,91303,K,5,Elementary,No,No,No,Yes,4681,5789,1,Elementary,19.14,21.31594,FALSE
60153808721,Multicultural Learning Center,Canoga Park,91303,K,8,Elementary,Yes,No,No,Yes,3638,5789,2,Elementary,37.16,33.71678,FALSE
60214510838,N.E.W. Academy Canoga Park,Canoga Park,91303,K,5,Elementary,Yes,No,No,Yes,3599,5789,2,Elementary,37.83,34.14684,FALSE
69999953941,Our Lady Of The Valley School,Canoga Park,91303,K,8,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
62271003257,Owensmouth Continuation,Canoga Park,91303,9,12,High,No,No,No,Yes,1831,2133,1,High,14.16,13.54698,FALSE
60173613765,Village Charter Academy,Canoga Park,91303,K,5,Elementary,Yes,No,No,Yes,3538,5789,2,Elementary,38.88,34.98588,FALSE
62211008438,Altamont Creek Elementary,Livermore,94551,K,5,Elementary,No,No,No,No,1070,5789,4,Elementary,81.52,82.05498,FALSE
62211002618,Andrew N. Christensen Middle,Livermore,94551,6,8,Middle,No,No,No,No,462,2715,4,Middle,82.98,80.84714,FALSE
62211002622,Junction K-8,Livermore,94551,K,8,Elementary,No,No,No,Yes,3001,5789,2,Elementary,48.16,43.09781,FALSE
62211014134,Lawrence Elementary,Livermore,94551,K,5,Elementary,No,No,No,No,1233,5789,4,Elementary,78.7,78.59045,FALSE
62211000052,Leo R. Croce Elementary,Livermore,94551,K,5,Elementary,No,No,No,No,2253,5789,3,Elementary,61.08,56.05603,FALSE
62211002631,Marylin Avenue Elementary,Livermore,94551,K,5,Elementary,No,No,No,Yes,3446,5789,2,Elementary,40.47,36.19106,FALSE
62211002632,Rancho Las Positas Elementary,Livermore,94551,K,5,Elementary,No,No,No,No,1536,5789,4,Elementary,73.47,71.56182,FALSE
60008410731,Tri-Valley Regional Occupational Program,Livermore,94551,9,12,High,No,(n/a),(n/a),(n/a),,,,,,,FALSE
69999909108,Valley Montessori School,Livermore,94551,PK,8,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
62046002458,Cabrillo Elementary,Pacifica,94044,K,8,Elementary,No,No,No,No,1510,5789,4,Elementary,73.92,72.16125,FALSE
69999906614,Good Shepherd Elementary School,Pacifica,94044,K,8,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
62046010657,Ingrid B. Lacy Middle,Pacifica,94044,6,8,Middle,No,No,No,No,683,2715,4,Middle,74.84,70.53967,FALSE
62046014110,Linda Mar Educational Center,Pacifica,94044,,,,No,(n/a),(n/a),(n/a),,,,,,,FALSE
62046002469,Ocean Shore Elementary,Pacifica,94044,K,8,Elementary,No,No,No,No,862,5789,4,Elementary,85.11,85.81298,FALSE
61893002294,Oceana High,Pacifica,94044,9,12,High,No,No,No,No,420,2133,4,High,80.31,76.79563,FALSE
62046011430,Ortega Elementary,Pacifica,94044,K,5,Elementary,No,No,No,No,1097,5789,4,Elementary,81.05,81.51335,FALSE
69999905565,Pacific Bay Christian School,Pacifica,94044,K,12,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
62046013922,Pacifica Independent Home Study,Pacifica,94044,K,8,Elementary,No,No,No,No,,,,,,,FALSE
62046002471,Sunset Ridge Elementary,Pacifica,94044,K,5,Elementary,No,No,No,Yes,3127,5789,2,Elementary,45.98,41.06364,FALSE
61389011068,Folsom Cordova K-8 Community Charter,Mather,95655,K,8,Elementary,Yes,No,No,No,4202,5789,1,Elementary,27.41,26.85799,FALSE
61389008575,Mather Heights Elementary,Mather,95655,K,5,Elementary,No,Yes,No,No,1141,5789,4,Elementary,80.29,80.68511,FALSE
69102711058,Sacramento County Educational Special Education,Mather,95655,K,12,Other,No,No,No,No,,,,,,,FALSE
69102711057,Sacramento County SH Special Education,Mather,95655,3,12,Other,No,No,No,No,,,,,,,FALSE
60180112244,Aspire Langston Hughes Academy,Stockton,95205,6,12,High,Yes,No,No,Yes,710,2133,3,High,66.71,61.20968,FALSE
60244512106,Aspire Port City Academy,Stockton,95205,K,5,Elementary,Yes,No,No,Yes,2576,5789,3,Elementary,55.5,50.50079,FALSE
63801006399,August Elementary,Stockton,95205,K,8,Elementary,No,No,No,Yes,4195,5789,1,Elementary,27.53,26.93974,FALSE
69999906025,Childrens Home Of Stockton,Stockton,95205,1,12,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
60174812374,Dr. Lewis Dolphin Stallworth Senior Charter,Stockton,95205,K,8,Elementary,Yes,Yes,No,Yes,5702,5789,0,Elementary,1.5,6.62143,FALSE
63801006406,Fillmore Elementary,Stockton,95205,K,8,Elementary,No,No,No,Yes,4799,5789,1,Elementary,17.1,20.02595,FALSE
63801006413,Grunsky Elementary,Stockton,95205,K,8,Elementary,No,No,No,Yes,5469,5789,0,Elementary,5.53,11.76864,FALSE
63801009446,Jane Frederick High,Stockton,95205,9,12,High,No,No,No,Yes,1684,2133,1,High,21.05,17.33461,FALSE
63801011782,John C. Fremont Elementary,Stockton,95205,K,8,Elementary,No,Yes,No,Yes,5598,5789,0,Elementary,3.3,9.4786,FALSE
63801006421,King Elementary,Stockton,95205,K,8,Elementary,No,No,No,Yes,5164,5789,1,Elementary,10.8,15.9878,FALSE
60217610851,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles,90007,6,12,High,Yes,No,No,Yes,376,2133,4,High,82.37,79.3852,FALSE
60165711636,Animo Jackie Robinson High,Los Angeles,90007,9,12,High,Yes,No,No,Yes,911,2133,3,High,57.29,52.68192,FALSE
60207712805,Camino Nuevo Elementary School #3,Los Angeles,90007,K,8,Elementary,Yes,No,No,Yes,5090,5789,1,Elementary,12.07,16.81421,FALSE
