schoolid,schoolName,city,zip,lowGrade,highGrade,schoolLevel,isCharterSchool,isMagnetSchool,isVirtualSchool,isTitleISchool,rank,rankOf,rankStars,rankLevel,rankStatewidePercentage,averageStandardScore,isPrivate
69999906496,Foothill Preparatory School,Alhambra,91801,9,12,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
60015310937,Garfield Elementary,Alhambra,91801,K,8,Elementary,No,No,No,Yes,1540,5789,4,Elementary,73.4,71.46068,FALSE
69999942144,Grace Garden Preschool,Alhambra,91801,PK,K,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
60015310938,Granada Elementary,Alhambra,91801,K,8,Elementary,No,No,No,Yes,2784,5789,3,Elementary,51.91,46.65774,FALSE
60133201985,Foothill High,Sacramento,95842,9,12,High,No,No,No,Yes,1084,2133,2,High,49.18,45.80848,FALSE
60133203711,Foothill Oaks Elementary,Sacramento,95842,K,6,Elementary,No,No,No,Yes,3293,5789,2,Elementary,43.12,38.26717,FALSE
60133201984,Foothill Ranch Middle,Sacramento,95842,5,8,Middle,No,No,No,Yes,1685,2715,2,Middle,37.94,32.86562,FALSE
60133205097,Frontier Elementary,Sacramento,95842,K,6,Elementary,No,No,No,Yes,3175,5789,2,Elementary,45.15,40.2679,FALSE
60133208952,Ridgepoint Elementary,Sacramento,95842,K,8,Elementary,No,No,No,Yes,2737,5789,3,Elementary,52.72,47.45825,FALSE
69999909024,Trinity Christian School,Sacramento,95842,PK,9,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
