schoolid,schoolName,url,street_address,city,zip,lowGrade,highGrade,schoolLevel,isCharterSchool,isMagnetSchool,isVirtualSchool,isTitleISchool,districtName,countyName,rank,rankOf,rankStars,rankLevel,rankStatewidePercentage,averageStandardScore,rankMovement,numberOfStudents,teachersFulltime,isPrivate
060197611580,California Montessori Project-Shingle Springs Campus,https://www.schooldigger.com/go/CA/schools/0197611580/school.aspx,4645 Buckeye Rd.,Shingle Springs,95682,K,8,Elementary,Yes,No,No,Yes,CA Montessori Project-Shingle Springs Campus District,El Dorado County,1191,5789,4,Elementary,79.43,79.6744,,470,,False
060627000549,Camerado Springs Middle,https://www.schooldigger.com/go/CA/schools/0627000549/school.aspx,2480 Merrychase Dr.,Cameron Park,95682,6,8,Middle,No,No,No,No,Buckeye Union Elementary,El Dorado County,394,2715,4,Middle,85.49,83.74459,175,518,,False
062118002538,Latrobe Elementary,https://www.schooldigger.com/go/CA/schools/2118002538/school.aspx,7680 S. Shingle Rd.,Shingle Springs,95682,K,3,Elementary,No,No,No,(n/a),Latrobe,El Dorado County,,,,,,,,64,,False
062118008151,Miller's Hill,https://www.schooldigger.com/go/CA/schools/2118008151/school.aspx,7900 S. Shingle Rd.,Shingle Springs,95682,4,8,Middle,No,No,No,(n/a),Latrobe,El Dorado County,293,2715,4,Middle,89.21,88.64825,67,83,,False
061207001344,Ponderosa High,https://www.schooldigger.com/go/CA/schools/1207001344/school.aspx,3661 Ponderosa Rd.,Shingle Springs,95682,9,12,High,No,No,No,No,El Dorado Union High,El Dorado County,365,2133,4,High,82.89,79.76443,-183,1866,,False
060001609678,Pepper Tree Elementary,https://www.schooldigger.com/go/CA/schools/0001609678/school.aspx,1045 W. 18th St.,Upland,91784,K,6,Elementary,No,No,No,No,Upland Unified,San Bernardino County,759,5789,4,Elementary,86.89,87.82663,16,802,,False
060001609092,Pioneer Junior High,https://www.schooldigger.com/go/CA/schools/0001609092/school.aspx,245 W. 18th St.,Upland,91784,7,8,Middle,No,No,No,No,Upland Unified,San Bernardino County,427,2715,4,Middle,84.27,82.33154,-74,764,,False
069999908620,St Marks Episcopal School,https://www.schooldigger.com/go/CA/schools/9999908620/school.aspx,330 E 16th St,Upland,91784,PK,8,Private,(n/a),(n/a),(n/a),(n/a),,San Bernardino County,,,,,,,,,,True
060001609097,Valencia Elementary,https://www.schooldigger.com/go/CA/schools/0001609097/school.aspx,541 W. 22nd St.,Upland,91784,K,6,Elementary,No,No,No,No,Upland Unified,San Bernardino County,852,5789,4,Elementary,85.28,85.96011,405,615,,False
060002109291,Sunol Glen Elementary,https://www.schooldigger.com/go/CA/schools/0002109291/school.aspx,11601 Main St.,Sunol,94586,K,8,Elementary,No,No,No,Yes,Sunol Glen Unified,Alameda County,139,5789,5,Elementary,97.6,97.08792,103,291,,False
