,city,violent_crime_rate,property_crime_rate
224,Livingston,3.65,17.9
225,Lodi,4.56,32.94
226,Loma Linda,1.72,28.95
227,Lomita,3.72,17.17
228,Lompoc,3.49,19.49
229,Long Beach,4.89,26.4
230,Los Alamitos,1.37,17.42
231,Los Altos,0.23,10.64
232,Los Altos Hills,0.24,8.68
233,Los Angeles,4.91,21.28
234,Los Banos,3.59,24.32
235,Los Gatos,0.75,20.12
236,Lynwood,5.58,19.83
237,McFarland,5.26,18.63
238,Madera,6.54,26.55
239,Malibu,1.94,24.16
240,Mammoth Lakes,3.49,13.82
241,Manhattan Beach,1.03,24.48
242,Manteca,2.41,28.75
243,Marina,2.83,22.55
244,Martinez,1.95,26.03
245,Marysville,7.02,41.41
246,Maywood,3.16,8.98
247,Mendota,6.27,25
248,Menifee,1.26,17.69
249,Menlo Park,1.56,16.96
250,Merced,6.99,32.25
251,Mill Valley,0.76,13.05
252,Milpitas,1.59,30.2
253,Mission Viejo,0.73,8.9
254,Modesto,8.64,44.28
255,Monrovia,1.26,19.29
256,Montague,1.43,9.3
257,Montclair,5.48,39.27
258,Montebello,2.1,22.73
259,Monterey,4.03,35.84
260,Monterey Park,1.48,16.95
261,Monte Sereno,0,8.54
262,Moorpark,1.1,7.85
263,Moraga,0.47,8.85
264,Moreno Valley,2.88,31.59
265,Morgan Hill,1.56,14.72
266,Morro Bay,4.75,22.25
267,Mountain View,1.98,20.42
268,Mount Shasta,1.84,18.98
269,Murrieta,0.63,13.45
270,Napa,3.13,16.53
271,National City,4.44,26.43
272,Needles,5.06,33.17
273,Nevada City,11.78,31.1
274,Newark,2.45,21.84
275,Newman,2.33,14.62
276,Newport Beach,1.24,21.42
277,Norco,1.71,23.84
278,Norwalk,2.96,18.73
279,Novato,1.46,14.06
280,Oakdale,1.99,37.97
281,Oakland,16.85,59.43
282,Oakley,1.16,12.07
283,Oceanside,3.74,22.88
284,Ojai,1.31,15.77
285,Ontario,2.56,27.66
286,Orange,1.01,15.92
287,Orange Cove,1.03,15.56
288,Orinda,0.21,9.89
289,Orland,2.66,16.38
290,Oroville,5.66,61.78
291,Oxnard,4.33,31.26
292,Pacifica,2.34,16.39
293,Pacific Grove,1.92,19.28
294,Palmdale,5.31,20.35
295,Palm Desert,2.75,42.73
296,Palm Springs,6.32,58.33
297,Palo Alto,0.88,19.34
298,Palos Verdes Estates,0.37,8.85
299,Paradise,1.98,19.62
300,Paramount,4.33,25.51
301,Parlier,7.76,15.65
302,Pasadena,2.81,24.71
303,Patterson,1.91,29.84
304,Perris,2.46,26.02
305,Petaluma,3.34,17.96
306,Pico Rivera,4.3,21.26
307,Piedmont,0.72,20.77
308,Pinole,3.63,33.2
309,Pismo Beach,3.29,48.93
310,Pittsburg,2.59,34.99
311,Placentia,1.56,13.94
312,Placerville,5.44,26.03
313,Pleasant Hill,1.75,50.58
314,Pleasanton,0.81,16.57
315,Pomona,5.12,28.99
316,Porterville,2.85,21.74
317,Port Hueneme,4,15.6
318,Poway,1.41,8.76
319,Rancho Cordova,4.44,23.95
320,Rancho Cucamonga,1.64,21.24
321,Rancho Mirage,1.62,37.77
322,Rancho Palos Verdes,0.56,11.07
323,Rancho Santa Margarita,0.54,4.1
324,Red Bluff,9.15,64.6
325,Redding,6.67,42.92
326,Redlands,2.09,40.36
327,Redondo Beach,2.32,21.26
328,Redwood City,2.37,21.11
329,Reedley,7.9,18.26
330,Rialto,3.2,21.01
331,Richmond,7.77,39.47
332,Ridgecrest,4.09,16.3
333,Rio Dell,5.66,16.97
334,Rio Vista,4.86,14.82
335,Ripon,1.21,17.36
336,Riverbank,1.18,29.04
337,Riverside,4.33,30.88
338,Rocklin,0.83,17.21
339,Rohnert Park,3.85,17.7
340,Rolling Hills,0.53,9.49
341,Rolling Hills Estates,0.85,13.85
342,Rosemead,2.69,21.66
343,Roseville,1.5,23.8
344,Ross,1.62,8.48
345,Sacramento,6.15,31.23
346,St. Helena,1,9.37
347,Salinas,6.35,33.31
348,San Bernardino,9.92,43.05
349,San Bruno,2.57,24.63
350,San Buenaventura (Ventura),2.53,35.4
351,San Clemente,1.06,10.51
352,Sand City,11.66,481.05
353,San Diego,3.81,19.59
354,San Dimas,2.03,18.58
355,San Fernando,3.08,16.67
356,San Francisco,7.95,53.03
357,San Gabriel,2.05,13.73
358,Sanger,3.92,22.16
359,San Jacinto,2.19,40.57
360,San Jose,3.21,24.34
361,San Juan Capistrano,1.72,10.6
362,San Leandro,4.16,42.36
363,San Luis Obispo,5.14,30.83
364,San Marcos,2.16,14.16
365,San Marino,0.37,16.53
366,San Mateo,2.25,19.04
367,San Pablo,8.08,38.95
368,San Rafael,3.26,28.06
369,San Ramon,0.31,9.97
370,Santa Ana,3.74,17.19
371,Santa Barbara,3.32,26.28
372,Santa Clara,1.34,26.98
373,Santa Clarita,1.48,11.78
374,Santa Cruz,8.26,51.54
375,Santa Fe Springs,4.29,65.14
376,Santa Maria,4.27,29.6
377,Santa Monica,3.63,32.48
378,Santa Paula,2.81,14.77
379,Santa Rosa,3.68,22.26
380,Santee,2.29,13.99
381,Saratoga,0.61,9.25
382,Sausalito,2.94,32.51
383,Scotts Valley,1.44,22.38
384,Seal Beach,1.05,19.98
385,Seaside,3.38,14.76
386,Sebastopol,1.31,16.22
387,Selma,6.31,40.4
388,Shafter,2.67,26.81
389,Sierra Madre,1.17,8.3
390,Signal Hill,3.51,43.82
391,Simi Valley,1.11,12.78
392,Solana Beach,1.65,14.11
393,Soledad,2.05,8.99
394,Solvang,1.66,14.95
395,Sonoma,3.11,15.16
396,Sonora,4.6,70
397,South El Monte,5.86,31.61
398,South Gate,5.27,28
399,South Lake Tahoe,5.24,24.14
400,South Pasadena,1.15,18.24
401,South San Francisco,2.34,19.07
402,Stallion Springs,1.55,4.25
403,Stanton,3.2,17.63
404,Stockton,13.31,43.9
405,Suisun City,2.35,20.91
406,Sunnyvale,1.12,15.77
407,Susanville,7.11,20.93
408,Sutter Creek,1.23,17.23
409,Taft,5.17,31.03
410,Tehachapi,3.92,23.77
411,Temecula,0.92,23.41
412,Temple City,1.24,11.8
413,Thousand Oaks,0.99,12.38
414,Tiburon,0.11,11.59
415,Torrance,1.05,17.73
416,Tracy,1.52,26.59
417,Truckee,1.11,10.15
418,Tulare,7.42,33.35
419,Tulelake,1.01,3.04
420,Turlock,5.26,35.46
421,Tustin,1.67,17.15
422,Twentynine Palms,2.39,11.61
423,Ukiah,8.46,34.79
424,Union City,2.83,21.86
425,Upland,2.24,28.57
426,Vacaville,2.83,27.32
427,Vallejo,8.65,40.81
428,Vernon,217.39,"2,713.04"
429,Victorville,5.25,35.76
430,Villa Park,0.84,14.04
431,Visalia,3.77,29.54
432,Vista,3.48,17.27
433,Walnut,0.96,9.71
434,Walnut Creek,1.1,36.1
435,Waterford,2.08,22.67
436,Watsonville,5.02,28.21
437,Weed,6.91,29.03
438,West Covina,2.08,26.19
439,West Hollywood,7.52,37.32
440,Westlake Village,0.83,20.47
441,Westminster,2.1,23.97
442,Westmorland,3.53,1.77
443,West Sacramento,5.22,25.82
444,Wheatland,1.14,14.2
445,Whittier,2.75,25.84
446,Wildomar,1.15,16.21
447,Williams,1.16,12.34
448,Willits,6.86,10.39
449,Willows,3.61,27.43
450,Windsor,3.14,9.29
451,Winters,3.02,22.26
452,Woodlake,3.9,15.84
453,Woodland,5.24,30.89
454,Yorba Linda,0.66,10.37
455,Yountville,2.35,13.43
456,Yreka,8.2,39.43
457,Yuba City,3.4,25.93
458,Yucaipa,1.34,18.52
459,Yucca Valley,3.53,25.11
