"name","county_name","city_name","aland","median_household_income","average_household_income","per_capita_income","percent_of_households_with_incomes_200000_or_more","householder_under_25_years","householder_25_to_44_years","householder_45_to_64_years","householder_65_years_and_over","hhi_total","hhi_lt_25k","hhi_25k_to_49k","hhi_50k_to_749k","hhi_75k_to_999k","hhi_100k_to_1490k","hhi_150k_to_1999k","hhi_200k_or_more","race_and_ethnicity_total","population_density_sq_mi","median_age","educational_attainment_bachelors","educational_attainment_graduate","family_poverty_pct","unemployment_pct","housing_units","median_value_of_owner_occupied_units","cities","city","city_population"
"92585","Riverside","Menifee; Nuevo; Perris; Romoland","52598134","73682","92969","27487","5.9%","1","103015","73417","43417","6115","881","1130","1105","721","1129","789","360","21907","1078.7","35.1","12.8%","7.8%","9.1%","5.6%","6519","352400","Menifee","Menifee","171030"
"92585","Riverside","Menifee; Nuevo; Perris; Romoland","52598134","73682","92969","27487","5.9%","1","103015","73417","43417","6115","881","1130","1105","721","1129","789","360","21907","1078.7","35.1","12.8%","7.8%","9.1%","5.6%","6519","352400","Perris","Perris","176924"
"92586","Riverside","Menifee; Perris","18285201","40757","54931","26872","1.9%","56744","67969","55159","31446","9049","2666","2601","1604","878","903","225","172","19472","2758.1","59.8","8.3%","5.4%","5.6%","7.9%","9842","235600","Menifee","Menifee","171030"
"92586","Riverside","Menifee; Perris","18285201","40757","54931","26872","1.9%","56744","67969","55159","31446","9049","2666","2601","1604","878","903","225","172","19472","2758.1","59.8","8.3%","5.4%","5.6%","7.9%","9842","235600","Perris","Perris","176924"
"92587","Riverside","Canyon Lake; Lake Elsinore; Menifee; Perris","20466196","83943","111533","39598","9.7%","37083","83289","105089","69915","5840","778","928","1043","575","1161","791","564","17237","2181.3","38","14.1%","10.7%","8.9%","3.9%","6360","386200","Lake Elsinore","Lake Elsinore","231612"
"92587","Riverside","Canyon Lake; Lake Elsinore; Menifee; Perris","20466196","83943","111533","39598","9.7%","37083","83289","105089","69915","5840","778","928","1043","575","1161","791","564","17237","2181.3","38","14.1%","10.7%","8.9%","3.9%","6360","386200","Menifee","Menifee","171030"
"92587","Riverside","Canyon Lake; Lake Elsinore; Menifee; Perris","20466196","83943","111533","39598","9.7%","37083","83289","105089","69915","5840","778","928","1043","575","1161","791","564","17237","2181.3","38","14.1%","10.7%","8.9%","3.9%","6360","386200","Perris","Perris","176924"
"92590","Riverside","Temecula","138374502","68125","142194","47723","14.7%","1","57361","90325","78750","1662","312","301","283","243","209","70","244","5154","96.5","34","18.8%","9.4%","16.8%","7.7%","1792","1063300","Temecula","Temecula","212122"
"92591","Riverside","Temecula","42650684","88034","105530","34832","10.7%","60114","87003","109631","62031","13098","1462","1812","2117","2146","2755","1409","1397","41609","2526.7","35","20.2%","13.1%","7.2%","6.7%","14086","448400","Temecula","Temecula","212122"
"92592","Riverside","Temecula","251764254","105279","128328","38742","15.6%","45536","101446","120980","76141","24544","1656","2717","3658","3435","5974","3279","3825","84930","873.7","36.1","23.1%","13.0%","4.5%","5.0%","25783","463900","Temecula","Temecula","212122"
"92595","Riverside","Lake Elsinore; Wildomar","54538860","78057","94337","28890","7.9%","85224","84878","89335","47659","9502","1087","1622","1790","1481","2199","575","748","33649","1598","34.9","11.8%","5.6%","8.9%","7.0%","9916","360100","Lake Elsinore","Lake Elsinore","231612"
"92595","Riverside","Lake Elsinore; Wildomar","54538860","78057","94337","28890","7.9%","85224","84878","89335","47659","9502","1087","1622","1790","1481","2199","575","748","33649","1598","34.9","11.8%","5.6%","8.9%","7.0%","9916","360100","Wildomar","Wildomar","210354"
"92596","Riverside","French Valley; Green Acres; Hemet; Menifee; Temecula; Winchester","158619363","101903","116508","31352","10.8%","1","106424","111152","75870","8178","510","907","1250","1301","2078","1247","885","32256","526.7","34","19.2%","8.5%","6.9%","9.8%","8609","426000","French Valley","French Valley","101725"
"92596","Riverside","French Valley; Green Acres; Hemet; Menifee; Temecula; Winchester","158619363","101903","116508","31352","10.8%","1","106424","111152","75870","8178","510","907","1250","1301","2078","1247","885","32256","526.7","34","19.2%","8.5%","6.9%","9.8%","8609","426000","Hemet","Hemet","179591"
"92596","Riverside","French Valley; Green Acres; Hemet; Menifee; Temecula; Winchester","158619363","101903","116508","31352","10.8%","1","106424","111152","75870","8178","510","907","1250","1301","2078","1247","885","32256","526.7","34","19.2%","8.5%","6.9%","9.8%","8609","426000","Menifee","Menifee","171030"
"92596","Riverside","French Valley; Green Acres; Hemet; Menifee; Temecula; Winchester","158619363","101903","116508","31352","10.8%","1","106424","111152","75870","8178","510","907","1250","1301","2078","1247","885","32256","526.7","34","19.2%","8.5%","6.9%","9.8%","8609","426000","Temecula","Temecula","212122"
"92602","Orange","Irvine; Orange","26997248","100745","134758","47380","19.2%","1","105542","104355","47083","8062","1007","1005","769","1219","1427","1091","1544","23238","2229.3","36.5","38.2%","31.3%","10.4%","3.7%","8424","852600","Irvine","Irvine","368084"
"92602","Orange","Irvine; Orange","26997248","100745","134758","47380","19.2%","1","105542","104355","47083","8062","1007","1005","769","1219","1427","1091","1544","23238","2229.3","36.5","38.2%","31.3%","10.4%","3.7%","8424","852600","Orange","Orange","351376"
"92603","Orange","Irvine","34312766","146505","212252","79696","37.0%","2499","116781","201324","107283","7201","504","494","1057","489","1139","856","2662","19558","1476.3","40.4","43.1%","35.8%","3.6%","2.6%","8039","1280500","Irvine","Irvine","368084"
"92604","Orange","Irvine","8725670","106821","128599","44035","18.6%","1","124811","123359","72355","9685","1384","971","998","1084","2069","1377","1802","28990","8604.9","39.8","37.4%","24.0%","7.7%","5.5%","9980","750300","Irvine","Irvine","368084"
"92606","Orange","Irvine; Tustin","12527152","102991","128120","46324","17.9%","1","115360","120530","60660","9208","1155","943","1148","1253","1956","1104","1649","26171","5410.9","33.6","35.8%","28.2%","9.8%","4.1%","9678","814200","Irvine","Irvine","368084"
"92606","Orange","Irvine; Tustin","12527152","102991","128120","46324","17.9%","1","115360","120530","60660","9208","1155","943","1148","1253","1956","1104","1649","26171","5410.9","33.6","35.8%","28.2%","9.8%","4.1%","9678","814200","Tustin","Tustin","156052"
"92610","Orange","Irvine; Lake Forest","25461734","129270","158738","55169","24.4%","1","129856","140313","72628","5603","165","459","588","614","1542","866","1369","16360","1664.2","36.3","35.8%","26.6%","1.2%","3.9%","5882","739700","Irvine","Irvine","368084"
"92610","Orange","Irvine; Lake Forest","25461734","129270","158738","55169","24.4%","1","129856","140313","72628","5603","165","459","588","614","1542","866","1369","16360","1664.2","36.3","35.8%","26.6%","1.2%","3.9%","5882","739700","Lake Forest","Lake Forest","161327"
"92612","Orange","Irvine; Newport Beach","15721798","83942","116861","47177","14.3%","10217","114072","118050","63854","12999","3043","1612","1324","1253","2360","1543","1864","33234","5474.9","30","39.0%","31.0%","10.6%","5.5%","14438","727200","Irvine","Irvine","368084"
"92612","Orange","Irvine; Newport Beach","15721798","83942","116861","47177","14.3%","10217","114072","118050","63854","12999","3043","1612","1324","1253","2360","1543","1864","33234","5474.9","30","39.0%","31.0%","10.6%","5.5%","14438","727200","Newport Beach","Newport Beach","160788"
"92614","Orange","Costa Mesa; Irvine","11483160","104021","127999","49060","16.4%","1","106490","127852","75452","10097","1255","839","1091","1626","2243","1388","1655","27187","6131.9","35","41.4%","25.7%","7.5%","4.5%","10764","746500","Costa Mesa","Costa Mesa","140953"
"92614","Orange","Costa Mesa; Irvine","11483160","104021","127999","49060","16.4%","1","106490","127852","75452","10097","1255","839","1091","1626","2243","1388","1655","27187","6131.9","35","41.4%","25.7%","7.5%","4.5%","10764","746500","Irvine","Irvine","368084"
"92617","Orange","Irvine; Newport Beach","6224677","36824","86855","22002","15.0%","7911","51075","154590","234773","3971","1591","612","389","191","383","210","595","17197","7155.4","20.7","25.4%","61.4%","7.9%","7.4%","4233","511900","Irvine","Irvine","368084"
"92617","Orange","Irvine; Newport Beach","6224677","36824","86855","22002","15.0%","7911","51075","154590","234773","3971","1591","612","389","191","383","210","595","17197","7155.4","20.7","25.4%","61.4%","7.9%","7.4%","4233","511900","Newport Beach","Newport Beach","160788"
"92618","Orange","Irvine","54817017","107353","135579","54103","18.8%","1","119451","101869","50699","19247","2290","1896","2220","2488","4035","2708","3610","48997","2315","33.9","38.7%","28.9%","7.1%","4.4%","20640","839500","Irvine","Irvine","368084"
"92620","Orange","Irvine","18282579","115826","142731","52388","24.8%","1","119244","132468","64942","18977","2553","1734","1820","2035","3724","2400","4711","52569","7447.1","39.6","38.9%","30.3%","6.7%","3.5%","20584","908400","Irvine","Irvine","368084"
"92625","Orange","Newport Beach","6652413","155372","249437","117065","40.1%","1","182794","169375","117076","5759","638","429","558","354","740","728","2312","12394","4825.4","55.6","41.0%","29.0%","3.5%","2.8%","6787","2000001","Newport Beach","Newport Beach","160788"
