"name","county_name","city_name","aland","median_household_income","average_household_income","per_capita_income","percent_of_households_with_incomes_200000_or_more","householder_under_25_years","householder_25_to_44_years","householder_45_to_64_years","householder_65_years_and_over","hhi_total","hhi_lt_25k","hhi_25k_to_49k","hhi_50k_to_749k","hhi_75k_to_999k","hhi_100k_to_1490k","hhi_150k_to_1999k","hhi_200k_or_more","race_and_ethnicity_total","population_density_sq_mi","median_age","educational_attainment_bachelors","educational_attainment_graduate","family_poverty_pct","unemployment_pct","housing_units","median_value_of_owner_occupied_units","cities","city","city_population"
"90001","Los Angeles","Florence-Graham; Huntington Park; Los Angeles","9071081","43360","54325","13727","0.7%","41207","44976","49008","31250","13669","3646","3951","2681","1516","1382","396","97","59832","17083.3","29.1","4.8%","0.8%","23.3%","8.7%","14174","359000","Florence-Graham","Florence-Graham","188153"
"90001","Los Angeles","Florence-Graham; Huntington Park; Los Angeles","9071081","43360","54325","13727","0.7%","41207","44976","49008","31250","13669","3646","3951","2681","1516","1382","396","97","59832","17083.3","29.1","4.8%","0.8%","23.3%","8.7%","14174","359000","Huntington Park","Huntington Park","137569"
"90001","Los Angeles","Florence-Graham; Huntington Park; Los Angeles","9071081","43360","54325","13727","0.7%","41207","44976","49008","31250","13669","3646","3951","2681","1516","1382","396","97","59832","17083.3","29.1","4.8%","0.8%","23.3%","8.7%","14174","359000","Los Angeles","Los Angeles","4653140"
"90002","Los Angeles","Florence-Graham; Los Angeles; Lynwood","7930602","37285","49724","13284","1.2%","29455","36209","44634","23235","12917","4562","3501","2117","1212","1116","257","152","53302","17407.4","28","4.7%","1.2%","31.2%","9.7%","13546","345900","Florence-Graham","Florence-Graham","188153"
"90002","Los Angeles","Florence-Graham; Los Angeles; Lynwood","7930602","37285","49724","13284","1.2%","29455","36209","44634","23235","12917","4562","3501","2117","1212","1116","257","152","53302","17407.4","28","4.7%","1.2%","31.2%","9.7%","13546","345900","Los Angeles","Los Angeles","4653140"
"90002","Los Angeles","Florence-Graham; Los Angeles; Lynwood","7930602","37285","49724","13284","1.2%","29455","36209","44634","23235","12917","4562","3501","2117","1212","1116","257","152","53302","17407.4","28","4.7%","1.2%","31.2%","9.7%","13546","345900","Lynwood","Lynwood","218480"
"90003","Los Angeles","Los Angeles","9197635","40598","51181","13441","0.9%","37159","37970","46117","30438","17484","5667","4918","2900","1979","1497","366","157","73730","20761.8","28.3","4.4%","1.4%","28.7%","9.0%","18523","362800","Los Angeles","Los Angeles","4653140"
"90004","Los Angeles","Los Angeles","7894528","49675","84325","32090","8.2%","31944","52273","52618","35679","22004","4831","6254","3822","2328","2185","780","1804","60541","19861.9","35.2","25.5%","9.5%","14.4%","4.6%","25192","1063200","Los Angeles","Los Angeles","4653140"
"90005","Los Angeles","Los Angeles","2807558","38491","54841","24267","3.6%","27961","45858","44438","19636","16781","5328","5125","2949","1220","1130","431","598","39732","36653","35.6","22.9%","8.4%","21.5%","5.6%","18291","777100","Los Angeles","Los Angeles","4653140"
"90006","Los Angeles","Los Angeles","4972251","37072","50157","17791","1.3%","40221","38628","40656","21366","19337","6129","6244","3367","1514","1340","484","259","59576","31032.5","34.1","15.1%","3.9%","23.8%","7.0%","21124","608600","Los Angeles","Los Angeles","4653140"
"90007","Los Angeles","Los Angeles","6389840","27406","52447","17808","1.8%","10729","37859","36033","19784","11919","5485","2656","1637","1090","577","261","213","42433","17199.3","24.3","17.6%","9.0%","23.2%","12.4%","13038","622600","Los Angeles","Los Angeles","4653140"
"90008","Los Angeles","Ladera Heights; Los Angeles; View Park-Windsor Hills","9513272","43364","69070","33723","5.8%","36087","44104","44580","39660","14858","4960","3325","2175","1177","1679","687","855","31754","8645","43.2","16.5%","13.5%","16.8%","10.1%","16147","701800","Los Angeles","Los Angeles","4653140"
"90010","Los Angeles","Los Angeles","1184444","63112","82447","44814","8.0%","1","64046","75357","26875","2029","495","408","388","200","285","90","163","3822","8357.5","37.1","39.5%","10.6%","12.7%","7.9%","2459","866000","Los Angeles","Los Angeles","4653140"
"90011","Los Angeles","Los Angeles","11100440","40940","52535","12931","1.0%","46029","38110","45748","31194","24433","7222","7521","4053","2727","2085","576","249","111165","25937.4","28.7","3.7%","1.6%","29.7%","8.2%","25496","377600","Los Angeles","Los Angeles","4653140"
"90012","Los Angeles","Los Angeles","8379980","47027","74907","30023","6.2%","35804","83373","42095","15589","13216","4650","2105","1560","1276","2027","783","815","36552","11297.1","35.3","22.0%","11.0%","19.0%","7.3%","14156","533200","Los Angeles","Los Angeles","4653140"
"90013","Los Angeles","Los Angeles","1737688","22316","65566","41048","7.1%","31755","73971","11228","12461","7308","3873","869","485","451","869","240","521","12559","18718.9","43.3","25.6%","12.1%","11.6%","10.3%","8687","657400","Los Angeles","Los Angeles","4653140"
"90014","Los Angeles","Los Angeles","733426","40641","67825","46007","6.0%","36029","84722","12017","12041","5644","2525","534","567","446","916","320","336","8688","30680.4","41.7","31.7%","12.4%","16.5%","7.9%","6305","544500","Los Angeles","Los Angeles","4653140"
"90015","Los Angeles","Los Angeles","4430399","43890","80234","37408","10.5%","18043","62545","43309","17643","10270","3351","2315","936","814","1124","650","1080","22651","13241.7","31.9","24.1%","15.2%","23.5%","6.2%","11655","705000","Los Angeles","Los Angeles","4653140"
"90016","Los Angeles","Culver City; Los Angeles","9394067","48715","66037","26323","3.8%","27217","52179","54135","38759","17218","4143","4649","2923","2023","2132","689","659","45899","12654.6","37.4","15.9%","8.7%","13.4%","5.2%","18733","566600","Culver City","Culver City","176082"
"90016","Los Angeles","Culver City; Los Angeles","9394067","48715","66037","26323","3.8%","27217","52179","54135","38759","17218","4143","4649","2923","2023","2132","689","659","45899","12654.6","37.4","15.9%","8.7%","13.4%","5.2%","18733","566600","Los Angeles","Los Angeles","4653140"
"90017","Los Angeles","Los Angeles","1881085","35605","63540","27359","4.6%","30034","48401","35719","14471","11510","4075","3026","1392","904","877","706","530","27723","38170.7","31.7","21.3%","10.3%","31.3%","5.6%","12906","651500","Los Angeles","Los Angeles","4653140"
"90018","Los Angeles","Los Angeles","7500311","45984","67108","22530","3.0%","22284","45500","57843","29855","16568","4511","4225","2653","1788","1827","1064","500","53490","18471","34.4","15.2%","5.7%","16.6%","7.8%","17711","586500","Los Angeles","Los Angeles","4653140"
"90019","Los Angeles","Los Angeles","10070057","56389","85483","34267","8.5%","29688","61118","65874","34846","24464","5355","5749","3894","2541","3311","1544","2070","64534","16597.9","38.2","23.4%","11.3%","13.0%","4.3%","26551","932700","Los Angeles","Los Angeles","4653140"
"90020","Los Angeles","Los Angeles","2927480","49068","76983","33220","3.8%","48821","51511","50154","29806","16396","3640","4737","3666","1964","1424","347","618","39189","34671.1","34.4","31.5%","10.3%","13.2%","4.8%","18595","633700","Los Angeles","Los Angeles","4653140"
"90021","Los Angeles","Los Angeles","5362537","21635","57715","35141","6.1%","1","37000","17368","11628","1734","902","217","165","107","120","118","105","2945","1422.4","39.2","21.3%","8.2%","16.2%","16.4%","2010","888900","Los Angeles","Los Angeles","4653140"
"90022","Los Angeles","Commerce; East Los Angeles; Monterey Park","11348382","46051","59342","16949","1.4%","40927","46428","52859","36569","17603","4321","5204","3312","2025","1937","558","246","67014","15294.3","32.6","6.9%","1.9%","16.7%","9.3%","18421","416900","Commerce","Commerce","153309"
"90022","Los Angeles","Commerce; East Los Angeles; Monterey Park","11348382","46051","59342","16949","1.4%","40927","46428","52859","36569","17603","4321","5204","3312","2025","1937","558","246","67014","15294.3","32.6","6.9%","1.9%","16.7%","9.3%","18421","416900","East Los Angeles","East Los Angeles","215705"
"90022","Los Angeles","Commerce; East Los Angeles; Monterey Park","11348382","46051","59342","16949","1.4%","40927","46428","52859","36569","17603","4321","5204","3312","2025","1937","558","246","67014","15294.3","32.6","6.9%","1.9%","16.7%","9.3%","18421","416900","Monterey Park","Monterey Park","127453"
"90023","Los Angeles","Commerce; East Los Angeles; Los Angeles","10940489","42972","54607","15094","1.9%","44188","44057","49071","24664","11691","3333","3458","2052","1238","1096","290","224","46680","11050.8","31.4","4.8%","1.8%","22.1%","7.6%","12216","427300","Commerce","Commerce","153309"
"90023","Los Angeles","Commerce; East Los Angeles; Los Angeles","10940489","42972","54607","15094","1.9%","44188","44057","49071","24664","11691","3333","3458","2052","1238","1096","290","224","46680","11050.8","31.4","4.8%","1.8%","22.1%","7.6%","12216","427300","East Los Angeles","East Los Angeles","215705"
"90023","Los Angeles","Commerce; East Los Angeles; Los Angeles","10940489","42972","54607","15094","1.9%","44188","44057","49071","24664","11691","3333","3458","2052","1238","1096","290","224","46680","11050.8","31.4","4.8%","1.8%","22.1%","7.6%","12216","427300","Los Angeles","Los Angeles","4653140"
"90024","Los Angeles","Los Angeles","7605358","65855","135393","46935","18.0%","11634","76830","112377","95058","16515","4474","2346","1907","1375","2360","1081","2972","51627","17581.5","22.6","33.6%","39.0%","7.9%","7.9%","19519","1184100","Los Angeles","Los Angeles","4653140"
"90025","Los Angeles","Los Angeles","6654367","87280","117163","57137","13.9%","53028","99444","93072","51424","22015","3257","3256","2971","2807","4412","2248","3064","46883","18247.6","34","40.9%","27.9%","5.8%","4.4%","23386","867400","Los Angeles","Los Angeles","4653140"
"90026","Los Angeles","Los Angeles","10940041","65269","91250","36374","8.5%","51379","74513","63609","39299","26045","5379","5003","4229","3390","3967","1873","2204","68906","16313.1","34.7","28.6%","11.8%","16.1%","6.4%","27689","838400","Los Angeles","Los Angeles","4653140"
"90027","Los Angeles","Los Angeles","21066614","66947","103501","52257","10.0%","40000","79448","68200","28833","21668","4858","3924","3125","2713","3369","1517","2162","44770","5504.1","38.1","35.7%","18.9%","8.6%","6.0%","23899","1146900","Los Angeles","Los Angeles","4653140"
"90028","Los Angeles","Los Angeles","3947879","45499","67298","39513","4.8%","43477","61608","47763","13316","16403","5208","3494","2760","1772","1877","508","784","29774","19533.1","36.3","35.3%","12.8%","14.1%","8.1%","20139","792800","Los Angeles","Los Angeles","4653140"
"90029","Los Angeles","Los Angeles","3526894","41998","60177","25449","3.8%","47232","53998","38949","19176","13997","4222","3710","2411","1417","1334","372","531","36668","26927.3","36.2","22.9%","7.2%","17.9%","7.8%","15365","719900","Los Angeles","Los Angeles","4653140"
"90031","Los Angeles","Los Angeles","8944278","48479","70691","22620","4.3%","55909","60273","50502","25827","11739","2934","3031","2146","1174","1401","546","507","39916","11558.4","35.6","15.4%","6.4%","17.1%","8.5%","12387","550000","Los Angeles","Los Angeles","4653140"
"90032","Los Angeles","East Los Angeles; Los Angeles","12347321","57225","74960","22803","5.4%","32169","56379","69974","41495","13493","2887","3074","2400","1679","1820","909","724","48031","10075","34","14.9%","5.3%","16.0%","8.6%","14274","504700","East Los Angeles","East Los Angeles","215705"
"90032","Los Angeles","East Los Angeles; Los Angeles","12347321","57225","74960","22803","5.4%","32169","56379","69974","41495","13493","2887","3074","2400","1679","1820","909","724","48031","10075","34","14.9%","5.3%","16.0%","8.6%","14274","504700","Los Angeles","Los Angeles","4653140"
"90033","Los Angeles","Los Angeles","8462418","38266","50344","15210","1.6%","28158","40739","45015","23514","13303","4402","3695","2334","1363","1044","248","217","49155","15044.3","31.1","8.9%","3.0%","27.2%","5.7%","14133","434200","Los Angeles","Los Angeles","4653140"
"90034","Los Angeles","Los Angeles","8059573","75714","98799","48244","9.1%","47571","84678","69083","48750","25248","3574","4764","4121","4058","4340","2085","2306","53861","17308.5","34","34.3%","23.2%","5.9%","4.6%","27848","983300","Los Angeles","Los Angeles","4653140"
"90035","Los Angeles","Los Angeles","5304338","89337","136176","60302","18.4%","51659","103971","105625","44344","11816","1813","1538","1696","1510","1947","1137","2175","27272","13316.3","36.3","36.8%","26.5%","4.5%","3.7%","13857","1094900","Los Angeles","Los Angeles","4653140"
"90036","Los Angeles","Los Angeles","6398098","80539","119531","59781","15.1%","43086","84281","89902","65142","18559","2884","2409","3281","2294","3225","1656","2810","37965","15368.5","34.8","42.7%","25.9%","5.3%","5.2%","20852","1504000","Los Angeles","Los Angeles","4653140"
"90037","Los Angeles","Los Angeles","7348156","35424","49627","14445","1.2%","25862","37161","38423","21484","17699","6524","5133","2676","1066","1502","588","210","67640","23840.9","30.7","5.5%","1.5%","29.6%","7.7%","18682","407200","Los Angeles","Los Angeles","4653140"
"90038","Los Angeles","Los Angeles; West Hollywood","4057210","47116","63529","28564","4.1%","42995","55531","46563","23241","12229","3781","2529","2400","1388","1332","298","501","28580","18244.5","33.9","27.5%","6.5%","20.8%","5.8%","13776","821600","Los Angeles","Los Angeles","4653140"
"90038","Los Angeles","Los Angeles; West Hollywood","4057210","47116","63529","28564","4.1%","42995","55531","46563","23241","12229","3781","2529","2400","1388","1332","298","501","28580","18244.5","33.9","27.5%","6.5%","20.8%","5.8%","13776","821600","West Hollywood","West Hollywood","121199"
"90039","Los Angeles","Los Angeles","9764930","90538","124940","51159","16.9%","55625","107774","84535","53125","11685","1581","1702","1619","1530","2312","961","1980","29510","7827","39.2","33.0%","17.8%","8.2%","5.8%","12557","854200","Los Angeles","Los Angeles","4653140"
"90040","Los Angeles","Bell; Commerce; Vernon","14455067","47120","63795","19476","2.7%","40900","45823","63189","30199","3461","812","1002","508","383","557","105","94","12328","2208.9","35.3","7.0%","2.6%","13.5%","5.0%","3608","406900","Bell","Bell","144298"
"90040","Los Angeles","Bell; Commerce; Vernon","14455067","47120","63795","19476","2.7%","40900","45823","63189","30199","3461","812","1002","508","383","557","105","94","12328","2208.9","35.3","7.0%","2.6%","13.5%","5.0%","3608","406900","Commerce","Commerce","153309"
"90041","Los Angeles","Los Angeles","9343717","85971","115593","40317","12.8%","54886","108042","94688","51571","9661","1520","1407","1543","990","1844","1118","1239","29090","8063.5","38.8","32.1%","14.5%","6.9%","6.1%","10232","735100","Los Angeles","Los Angeles","4653140"
"90042","Los Angeles","Los Angeles","12036777","64267","87211","30575","7.8%","30776","75292","70241","38672","21017","3891","4399","3523","2598","3602","1363","1641","63193","13597.4","35.8","21.3%","11.0%","11.3%","6.8%","22061","627200","Los Angeles","Los Angeles","4653140"
"90043","Los Angeles","Los Angeles; View Park-Windsor Hills","10705825","54729","77169","31101","7.1%","40670","53438","58866","45719","17376","5195","2957","2735","1536","2527","1190","1236","45873","11097.7","40.1","16.0%","10.2%","14.2%","9.0%","18748","556400","Los Angeles","Los Angeles","4653140"
"90044","Los Angeles","Los Angeles; West Athens; Westmont","13303667","35981","51524","16278","1.6%","31067","36945","41083","24736","29029","10683","7638","4028","2880","2689","637","474","99443","19359.8","31.6","5.9%","2.0%","26.2%","7.1%","30461","391100","Los Angeles","Los Angeles","4653140"
"90044","Los Angeles","Los Angeles; West Athens; Westmont","13303667","35981","51524","16278","1.6%","31067","36945","41083","24736","29029","10683","7638","4028","2880","2689","637","474","99443","19359.8","31.6","5.9%","2.0%","26.2%","7.1%","30461","391100","West Athens","West Athens","225576"
"90044","Los Angeles","Los Angeles; West Athens; Westmont","13303667","35981","51524","16278","1.6%","31067","36945","41083","24736","29029","10683","7638","4028","2880","2689","637","474","99443","19359.8","31.6","5.9%","2.0%","26.2%","7.1%","30461","391100","Westmont","Westmont","150854"
"90045","Los Angeles","Del Aire; Los Angeles","27794039","104578","140825","56291","22.0%","25417","119839","131532","74872","15622","1834","1963","1803","1707","2886","1997","3432","40567","3780.2","35.1","38.3%","22.5%","4.6%","5.0%","17133","959400","Del Aire","Del Aire","163585"
"90045","Los Angeles","Del Aire; Los Angeles","27794039","104578","140825","56291","22.0%","25417","119839","131532","74872","15622","1834","1963","1803","1707","2886","1997","3432","40567","3780.2","35.1","38.3%","22.5%","4.6%","5.0%","17133","959400","Los Angeles","Los Angeles","4653140"
"90046","Los Angeles","Los Angeles; West Hollywood","14981233","72266","114923","67271","14.3%","36379","81991","83396","28995","29025","5983","4778","4121","3207","4590","2181","4165","50900","8799.7","38.2","43.0%","18.5%","3.8%","6.6%","31822","1183200","Los Angeles","Los Angeles","4653140"
"90046","Los Angeles","Los Angeles; West Hollywood","14981233","72266","114923","67271","14.3%","36379","81991","83396","28995","29025","5983","4778","4121","3207","4590","2181","4165","50900","8799.7","38.2","43.0%","18.5%","3.8%","6.6%","31822","1183200","West Hollywood","West Hollywood","121199"
"90047","Los Angeles","Los Angeles; West Athens; Westmont","12252022","52605","66946","25360","2.9%","25951","61845","53764","45453","17893","4710","3871","3166","2151","2605","878","512","51411","10867.9","38.4","10.1%","5.2%","11.7%","8.5%","18802","433700","Los Angeles","Los Angeles","4653140"
"90047","Los Angeles","Los Angeles; West Athens; Westmont","12252022","52605","66946","25360","2.9%","25951","61845","53764","45453","17893","4710","3871","3166","2151","2605","878","512","51411","10867.9","38.4","10.1%","5.2%","11.7%","8.5%","18802","433700","West Athens","West Athens","225576"
"90047","Los Angeles","Los Angeles; West Athens; Westmont","12252022","52605","66946","25360","2.9%","25951","61845","53764","45453","17893","4710","3871","3166","2151","2605","878","512","51411","10867.9","38.4","10.1%","5.2%","11.7%","8.5%","18802","433700","Westmont","Westmont","150854"
"90048","Los Angeles","Los Angeles; West Hollywood","4884083","100586","148754","81692","20.3%","67679","114819","103750","58360","11636","1322","1234","1864","1357","2432","1061","2366","21489","11395.4","37.7","43.7%","24.8%","2.9%","5.1%","13344","1229900","Los Angeles","Los Angeles","4653140"
"90048","Los Angeles","Los Angeles; West Hollywood","4884083","100586","148754","81692","20.3%","67679","114819","103750","58360","11636","1322","1234","1864","1357","2432","1061","2366","21489","11395.4","37.7","43.7%","24.8%","2.9%","5.1%","13344","1229900","West Hollywood","West Hollywood","121199"
"90049","Los Angeles","Los Angeles","38899404","129688","226246","105369","33.5%","56106","127075","157683","126827","16720","1918","1321","1626","1822","2624","1804","5605","36418","2424.8","40.6","39.7%","39.0%","3.3%","4.5%","18367","2000001","Los Angeles","Los Angeles","4653140"
"90056","Los Angeles","Ladera Heights; Los Angeles; View Park-Windsor Hills","4090957","92656","125019","57289","21.3%","1","61542","109792","86875","3412","607","370","437","416","539","315","728","7649","4842.6","49.3","25.4%","26.5%","3.0%","9.9%","3585","991300","Los Angeles","Los Angeles","4653140"
"90057","Los Angeles","Los Angeles","2293708","37700","48449","18216","1.1%","41494","43246","40353","19623","17298","5884","4835","3011","1814","1301","255","198","50152","56630.2","33.5","15.9%","4.4%","26.5%","7.0%","18360","457000","Los Angeles","Los Angeles","4653140"
"90058","Los Angeles","Bell; Huntington Park; Los Angeles; Vernon","15040197","21964","37195","10433","0.1%","1","31813","18964","1","706","363","155","92","61","34","0","1","2718","468.1","22.7","2.2%","3.4%","52.4%","14.0%","789","328400","Bell","Bell","144298"
"90058","Los Angeles","Bell; Huntington Park; Los Angeles; Vernon","15040197","21964","37195","10433","0.1%","1","31813","18964","1","706","363","155","92","61","34","0","1","2718","468.1","22.7","2.2%","3.4%","52.4%","14.0%","789","328400","Huntington Park","Huntington Park","137569"
"90058","Los Angeles","Bell; Huntington Park; Los Angeles; Vernon","15040197","21964","37195","10433","0.1%","1","31813","18964","1","706","363","155","92","61","34","0","1","2718","468.1","22.7","2.2%","3.4%","52.4%","14.0%","789","328400","Los Angeles","Los Angeles","4653140"
"90059","Los Angeles","Compton; Los Angeles; West Rancho Dominguez; Willowbrook","8581852","44838","56541","14807","1.3%","1","45034","47577","32604","10906","3439","2601","2112","1061","1176","376","141","46185","13938.6","27.7","5.6%","2.0%","24.2%","10.7%","11363","348100","Compton","Compton","183890"
"90059","Los Angeles","Compton; Los Angeles; West Rancho Dominguez; Willowbrook","8581852","44838","56541","14807","1.3%","1","45034","47577","32604","10906","3439","2601","2112","1061","1176","376","141","46185","13938.6","27.7","5.6%","2.0%","24.2%","10.7%","11363","348100","Los Angeles","Los Angeles","4653140"
"90059","Los Angeles","Compton; Los Angeles; West Rancho Dominguez; Willowbrook","8581852","44838","56541","14807","1.3%","1","45034","47577","32604","10906","3439","2601","2112","1061","1176","376","141","46185","13938.6","27.7","5.6%","2.0%","24.2%","10.7%","11363","348100","West Rancho Dominguez","West Rancho Dominguez","171682"
"90061","Los Angeles","Los Angeles; West Rancho Dominguez","6893902","42500","57231","16848","1.6%","1","41765","50393","24688","7396","2479","1695","1251","829","759","263","120","27873","10471.7","31.2","5.7%","1.7%","23.6%","5.7%","7674","361500","Los Angeles","Los Angeles","4653140"
"90061","Los Angeles","Los Angeles; West Rancho Dominguez","6893902","42500","57231","16848","1.6%","1","41765","50393","24688","7396","2479","1695","1251","829","759","263","120","27873","10471.7","31.2","5.7%","1.7%","23.6%","5.7%","7674","361500","West Rancho Dominguez","West Rancho Dominguez","171682"
"90062","Los Angeles","Los Angeles","5008333","49443","67726","20879","2.4%","43938","48583","54538","44224","10063","2519","2566","1616","1305","1419","396","242","35916","18573.4","34.6","10.3%","2.8%","15.1%","4.5%","10680","444000","Los Angeles","Los Angeles","4653140"
"90063","Los Angeles","East Los Angeles; Los Angeles","8475626","48559","63963","17698","2.2%","43314","48853","62179","28788","13686","2891","4114","2584","1750","1628","417","302","53980","16495.2","31.9","8.4%","2.0%","15.6%","8.0%","14394","406600","East Los Angeles","East Los Angeles","215705"
"90063","Los Angeles","East Los Angeles; Los Angeles","8475626","48559","63963","17698","2.2%","43314","48853","62179","28788","13686","2891","4114","2584","1750","1628","417","302","53980","16495.2","31.9","8.4%","2.0%","15.6%","8.0%","14394","406600","Los Angeles","Los Angeles","4653140"
"90064","Los Angeles","Los Angeles","10388700","102117","163066","71214","26.5%","48145","109320","128155","62458","11083","1634","1398","1285","1100","1530","1199","2937","25925","6463.3","40.3","36.1%","31.7%","4.7%","3.3%","11998","1178000","Los Angeles","Los Angeles","4653140"
"90065","Los Angeles","Los Angeles","13672051","67479","98376","34334","10.9%","38594","80262","72917","54707","15414","2688","2970","2521","1748","2452","1353","1682","46461","8801.4","37.2","24.5%","11.5%","11.0%","7.6%","16429","706900","Los Angeles","Los Angeles","4653140"
"90066","Los Angeles","Culver City; Los Angeles","12745916","83899","117608","52713","15.5%","54226","94722","93096","53650","25785","3516","4046","3931","3594","4372","2338","3988","59167","12022.8","38.1","32.5%","22.0%","6.9%","5.4%","26937","1121400","Culver City","Culver City","176082"
"90066","Los Angeles","Culver City; Los Angeles","12745916","83899","117608","52713","15.5%","54226","94722","93096","53650","25785","3516","4046","3931","3594","4372","2338","3988","59167","12022.8","38.1","32.5%","22.0%","6.9%","5.4%","26937","1121400","Los Angeles","Los Angeles","4653140"
"90067","Los Angeles","Los Angeles","849911","118393","217532","129379","31.0%","1","105699","115268","134779","1421","214","227","106","37","205","191","441","2428","7399","66.4","39.4%","29.4%","1.4%","6.2%","2042","1146700","Los Angeles","Los Angeles","4653140"
"90068","Los Angeles","Los Angeles","20067144","88535","157859","86299","24.0%","1","83634","108628","94440","11316","1679","1726","1412","1135","1692","953","2719","21092","2722.3","42.5","40.8%","24.9%","1.8%","9.1%","13943","1228400","Los Angeles","Los Angeles","4653140"
"90069","Los Angeles","Los Angeles; West Hollywood","5475727","93380","145432","92082","19.8%","48958","107681","101622","56113","12488","1826","1700","1677","1514","2216","1079","2476","20230","9568.7","42.9","43.3%","24.1%","2.3%","4.9%","14447","846700","Los Angeles","Los Angeles","4653140"
"90069","Los Angeles","Los Angeles; West Hollywood","5475727","93380","145432","92082","19.8%","48958","107681","101622","56113","12488","1826","1700","1677","1514","2216","1079","2476","20230","9568.7","42.9","43.3%","24.1%","2.3%","4.9%","14447","846700","West Hollywood","West Hollywood","121199"
"90071","Los Angeles","Los Angeles","319156","61875","76692","72511","10.1%","1","80862","1","1","119","5","32","30","40","0","0","12","126","1022.5","41.3","23.8%","16.7%","0.0%","0.0%","119","1","Los Angeles","Los Angeles","4653140"
"90077","Los Angeles","Los Angeles","18991437","209531","330006","126291","51.8%","1","250001","233839","160428","3173","139","172","146","276","406","391","1643","8382","1143.1","48.5","34.9%","44.3%","2.8%","4.4%","3791","2000001","Los Angeles","Los Angeles","4653140"
"90079","Los Angeles","Los Angeles","25585","1","1","1","-1.0%","1","1","1","1","0","0","0","0","0","0","0","0","0","0","-1","0.0%","0.0%","0.0%","0.0%","0","1","Los Angeles","Los Angeles","4653140"
"90089","Los Angeles","Los Angeles","742761","1","1","7447","0.0%","1","1","1","1","9","9","0","0","0","0","0","0","3786","13201.7","19.1","37.1%","5.7%","100.0%","32.8%","19","1","Los Angeles","Los Angeles","4653140"
"90090","Los Angeles","Los Angeles","599382","1","1","1","-1.0%","1","1","1","1","0","0","0","0","0","0","0","0","0","0","-1","0.0%","0.0%","0.0%","0.0%","0","1","Los Angeles","Los Angeles","4653140"
"90094","Los Angeles","Los Angeles","1578966","155417","210426","93577","42.7%","2499","198594","149091","133200","4361","462","262","258","418","699","402","1860","9827","16119.3","36.2","42.1%","39.5%","3.6%","3.5%","4663","1030600","Los Angeles","Los Angeles","4653140"
"90095","Los Angeles","Los Angeles","1029087","1","1","1","-1.0%","1","1","1","1","0","0","0","0","0","0","0","0","0","0","-1","0.0%","0.0%","0.0%","0.0%","0","1","Los Angeles","Los Angeles","4653140"
"90201","Los Angeles","Bell; Bell Gardens; Cudahy","15377708","44046","53867","14257","1.1%","40104","44393","47887","28273","24464","6033","7900","5081","2695","1829","667","259","101965","17173.4","29.8","5.4%","1.0%","23.6%","7.6%","25048","406800","Bell","Bell","144298"
"90201","Los Angeles","Bell; Bell Gardens; Cudahy","15377708","44046","53867","14257","1.1%","40104","44393","47887","28273","24464","6033","7900","5081","2695","1829","667","259","101965","17173.4","29.8","5.4%","1.0%","23.6%","7.6%","25048","406800","Bell Gardens","Bell Gardens","101965"
"90201","Los Angeles","Bell; Bell Gardens; Cudahy","15377708","44046","53867","14257","1.1%","40104","44393","47887","28273","24464","6033","7900","5081","2695","1829","667","259","101965","17173.4","29.8","5.4%","1.0%","23.6%","7.6%","25048","406800","Cudahy","Cudahy","176984"
"90210","Los Angeles","Beverly Hills; Los Angeles","26222771","147270","285632","117825","38.7%","1","150327","191736","118598","7936","1057","557","508","609","1273","864","3068","19314","1907.6","49.2","33.7%","31.9%","2.8%","4.9%","10018","2000001","Los Angeles","Los Angeles","4653140"
"90220","Los Angeles","Compton; West Rancho Dominguez","17898360","57074","66755","18292","2.2%","68611","53979","65603","39418","13206","2869","2903","2949","1802","1812","574","297","52817","7642.9","31.7","7.2%","3.3%","16.9%","9.2%","13764","330800","Compton","Compton","183890"
"90220","Los Angeles","Compton; West Rancho Dominguez","17898360","57074","66755","18292","2.2%","68611","53979","65603","39418","13206","2869","2903","2949","1802","1812","574","297","52817","7642.9","31.7","7.2%","3.3%","16.9%","9.2%","13764","330800","West Rancho Dominguez","West Rancho Dominguez","171682"
"90221","Los Angeles","Compton; East Rancho Dominguez; Paramount","13809070","51377","62433","16090","1.8%","49024","49650","58329","42647","12144","2643","3169","2790","1481","1408","438","215","51688","9694.4","31","4.9%","1.1%","18.2%","9.7%","12506","364100","Compton","Compton","183890"
"90221","Los Angeles","Compton; East Rancho Dominguez; Paramount","13809070","51377","62433","16090","1.8%","49024","49650","58329","42647","12144","2643","3169","2790","1481","1408","438","215","51688","9694.4","31","4.9%","1.1%","18.2%","9.7%","12506","364100","Paramount","Paramount","176737"
"90222","Los Angeles","Compton; West Rancho Dominguez; Willowbrook","6664307","49894","61055","16178","1.4%","18512","41682","62903","29792","7979","2130","1866","1341","1090","1136","303","113","33200","12902.7","29.1","7.0%","1.9%","20.6%","7.2%","8226","352800","Compton","Compton","183890"
"90222","Los Angeles","Compton; West Rancho Dominguez; Willowbrook","6664307","49894","61055","16178","1.4%","18512","41682","62903","29792","7979","2130","1866","1341","1090","1136","303","113","33200","12902.7","29.1","7.0%","1.9%","20.6%","7.2%","8226","352800","West Rancho Dominguez","West Rancho Dominguez","171682"
