ocean_related,environment_related,building_related,community_related,positive_comments,more_rural,more_urban,other,zip_code
0,18,0,20,3,5,3,1,92610
2,30,0,41,6,11,17,3,92612
0,22,0,31,6,5,15,1,92614
0,41,1,52,8,11,12,5,92618
1,44,5,77,19,11,23,13,93307
1,42,0,58,6,14,8,1,92620
5,33,0,74,10,10,58,6,92626
8,20,0,43,4,12,25,4,92627
3,5,1,2,4,4,11,0,94123
2,106,5,150,24,65,55,16,92630
46,102,2,226,23,11,36,14,92646
23,70,0,121,9,12,40,5,92647
44,56,4,105,16,15,55,7,92648
21,41,0,81,11,9,17,3,92649
2,36,7,45,12,24,19,5,90601
0,4,1,10,1,5,9,0,90602
0,10,0,18,2,6,4,0,90603
0,13,4,26,4,4,35,4,90057
0,3,0,9,0,2,6,0,94702
0,6,0,31,2,6,15,0,94703
0,0,0,3,0,1,5,1,94704
6,15,1,28,9,4,7,0,92657
0,11,3,18,10,4,23,1,94705
2,21,1,44,8,11,21,2,94707
30,53,1,107,29,19,44,7,92660
3,0,0,2,1,1,3,0,92661
5,3,0,10,4,3,4,1,92662
23,15,0,41,13,6,18,4,92663
3,41,8,28,15,26,13,6,94708
0,6,0,1,2,3,8,0,94709
2,7,0,31,2,6,19,3,94710
1,2,0,4,1,0,2,0,94706
0,55,1,95,11,6,38,8,90620
2,20,5,32,6,7,31,7,90621
4,22,4,33,7,2,22,6,90059
30,41,1,67,15,20,18,7,92672
10,33,3,56,14,15,5,4,92673
1,14,1,26,7,1,8,2,90061
20,107,6,167,41,42,29,14,92677
0,2,5,10,0,1,2,0,90062
0,17,0,23,7,21,0,2,92679
1,17,5,33,1,13,30,10,90063
12,63,1,111,12,11,50,9,92683
0,1,0,2,1,2,3,1,90058
0,19,1,36,6,6,16,5,90640
0,64,0,104,17,22,24,6,92691
0,58,0,96,23,30,17,6,92692
0,73,5,128,13,14,69,18,90650
3,23,12,43,8,8,37,6,92701
0,21,1,41,7,11,17,8,92703
2,59,7,85,18,16,43,14,92704
0,67,2,86,25,18,32,10,92705
1,26,10,65,12,10,25,1,92706
0,20,2,50,9,9,42,9,92707
1,31,1,53,9,7,24,4,90660
0,4,4,8,3,2,9,0,92501
0,23,2,52,2,11,36,4,92105
2,25,0,41,1,7,20,4,92111
5,10,2,39,5,5,14,2,94801
3,47,1,82,14,10,49,7,90706
2,32,1,43,10,13,17,7,94803
12,32,1,65,8,10,30,2,94804
1,12,1,19,3,2,11,1,94805
10,59,1,88,19,26,33,4,94806
1,6,1,13,0,4,14,1,92113
1,8,1,22,2,0,6,0,90712
0,3,0,4,0,0,3,0,90713
0,14,0,32,2,5,5,2,92114
0,7,0,7,1,0,4,1,90715
1,60,3,134,20,10,54,8,92780
2,68,1,110,28,20,40,11,92782
2,24,0,53,3,6,22,4,90745
0,17,0,23,2,4,10,3,90746
0,20,0,43,6,7,31,3,92801
0,15,1,35,2,7,16,4,92802
0,63,1,84,9,10,28,6,92804
0,11,4,23,0,5,16,1,92805
0,9,0,22,1,3,5,0,92123
0,18,0,32,4,2,4,0,92807
0,16,0,24,6,7,6,1,92808
0,27,1,56,5,12,25,4,92806
0,15,0,21,3,6,5,0,92532
0,29,0,52,14,11,35,8,92831
0,11,2,21,2,6,21,7,92832
2,46,2,75,8,21,24,12,92833
1,34,0,55,7,4,16,3,92835
0,29,1,33,8,7,21,8,92840
0,19,1,36,5,1,6,2,92841
1,19,1,23,4,1,8,3,92843
1,10,0,24,5,1,10,3,92844
0,11,0,20,1,1,5,2,92845
5,3,0,10,0,4,18,0,90802
11,10,1,34,9,5,19,1,90803
5,8,2,32,2,7,24,0,90804
1,25,0,35,2,6,10,1,90504
3,9,0,23,2,6,17,0,90806
1,10,2,37,3,5,12,0,90807
0,23,1,52,2,4,8,0,90808
2,44,0,91,7,13,39,4,90805
1,17,1,39,6,3,10,3,90810
3,4,2,17,0,4,20,0,90813
7,4,2,17,6,4,9,1,90814
0,33,0,62,2,5,17,1,90815
0,31,3,57,7,7,24,3,92865
1,20,2,27,2,4,6,4,92866
0,40,2,85,12,10,18,3,92867
0,19,2,32,5,8,31,1,92868
1,66,4,95,18,29,16,9,92869
3,89,6,143,20,43,49,27,92543
1,22,2,38,7,5,21,4,92879
0,42,1,76,11,2,17,1,92880
0,46,0,69,11,15,12,7,92881
0,45,0,53,13,23,11,5,92882
0,34,0,63,7,15,8,3,92883
1,66,0,96,14,12,22,9,92545
0,9,0,13,0,3,9,0,94580
0,66,1,98,17,24,19,5,92886
0,19,1,43,8,10,9,0,92887
2,32,1,54,13,9,14,5,92551
0,21,1,31,4,6,23,4,92553
0,32,2,33,8,9,5,1,92555
1,32,0,46,7,17,11,1,92557
1,2,1,2,1,3,0,0,95002
4,21,9,81,10,8,52,5,94601
5,120,3,154,32,47,77,11,95035
1,4,0,3,0,1,2,0,94603
0,51,5,104,10,8,41,8,95050
0,53,1,71,3,13,30,2,95051
2,21,1,31,4,15,15,11,95826
0,25,1,42,10,5,16,1,95054
2,155,2,221,37,35,80,26,93010
37,67,4,113,32,48,77,12,95060
1,118,2,147,39,35,31,10,93012
15,21,1,41,10,13,26,3,95062
1,11,1,13,4,5,3,2,95064
0,12,0,16,2,7,1,2,95065
2,13,2,36,5,7,14,1,93030
