zipcode,county_name,city,population,population_rank,city_name,aland,median_household_income,average_household_income,per_capita_income,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_25_to_44_years,householder_45_to_64_years,householder_65_years_and_over,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,population_density_sq_mi,median_age,educational_attainment_bachelors,educational_attainment_graduate,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units
91387,Los Angeles,Santa Clarita,213411,18,Santa Clarita,128267763,98371,117766,36908,0.151,59808,93958,117386,64830,12815,1117,1603,2094,1686,2849,1532,1934,42034,849.0,34.5,0.231,0.1,0.063,0.055,13436,536200
90660,Los Angeles,Pico Rivera,63001,145,Pico Rivera,20071543,67636,80793,23449,0.042,38457,76175,73489,43966,16852,2840,3065,3536,2441,2981,1282,707,63001,8130.0,37.1,0.09296,0.036,0.076,0.05103,17377,440600
90680,Orange,Garden Grove,173258,29,Garden Grove; Stanton,6994513,59220,77241,24422,0.04602,46058,61386,69012,32966,9037,1819,2089,1641,1089,1365,622,412,30531,11304.0,35.4,0.1489,0.053,0.135,0.045,9360,400200
91706,Los Angeles,Baldwin Park,75892,117,Baldwin Park; Irwindale,34792419,65755,77187,20220,0.035,61250,65512,72210,50714,18328,3207,3816,3686,2919,3004,1057,639,76930,5730.0,35.0,0.11,0.02199,0.108,0.058,19168,409400
91208,Los Angeles,Glendale,200232,24,Glendale,17875561,108374,150009,56533,0.2421,85754,108583,129489,86250,5855,581,566,697,795,1179,620,1417,15860,2298.0,43.8,0.34,0.231,0.043,0.038,6196,915100
91210,Los Angeles,Glendale,200232,24,Glendale,114007,135741,168220,72699,0.276,76135,136528,82598,37569,228,35,23,13,17,51,26,63,529,12020.0,35.1,0.439,0.291,0.1691,0.07697,319,475900
92782,Orange,Orange,139887,41,Irvine; Orange; Tustin,8707563,118438,165854,58542,0.278,45204,115208,150358,103056,7980,534,658,1034,902,1443,1189,2220,23084,6868.0,37.8,0.395,0.265,0.043,0.035,8629,787200
93702,Fresno,Fresno,525010,5,Fresno,13643087,27159,40320,11946,0.009,23973,26213,34388,21776,11961,5439,3284,1850,535,666,82,105,43601,8280.0,28.3,0.045,0.01401,0.38,0.104,12767,123500
94065,San Mateo,Redwood City,85784,97,Redwood City,5910432,172663,210656,88777,0.4219,76875,215074,185721,96713,5197,392,317,321,329,834,810,2194,12461,5460.0,42.1,0.344,0.4182,0.027,0.04602,5275,1332000
94519,Contra Costa,Concord,129183,45,Concord,11363905,96540,113218,40243,0.115,62365,112875,99156,73384,6924,610,957,1022,1083,1599,858,795,20041,4570.0,38.0,0.232,0.114,0.059,0.059,7176,510200
