zipcode,price,population,population_rank,aland,median_household_income,average_household_income,per_capita_income,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_65_years_and_over,hhi_lt_25k,hhi_200k_or_more,race_and_ethnicity_total,population_density_sq_mi,median_age,educational_attainment_bachelors,educational_attainment_graduate,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units,violent_crime_rate,property_crime_rate,postal_code,year_built,is_single_family,is_condo,is_multi_family,is_new_construction,beds,baths,baths_beds_ratio,garage,lot_size,building_size,rank,rankOf,rankStars,rankStatewidePercentage,averageStandardScore,has_elementary,has_middle,has_high,ocean_related,environment_related,building_related,community_related,positive_comments,more_rural,more_urban,other
90003,458000,3966936,1,9197635,40598,51181,13441,0.009000000000000001,37159,30438,5667,157,73730,20770.0,28.3,0.044000000000000004,0.013999999999999999,0.287,0.09,18523,362800,4.91,21.28,90003,1911,1,0,0,0,3,1.0,0.3333,0,5023,1512,2792.8888899999997,4293.44444,2.0,40.26444,38.4846,1.0,1.0,1.0,1,8,3,17,4,2,7,8
90006,1950000,3966936,1,4972251,37072,50157,17791,0.013000000000000001,40221,21366,6129,259,59576,31040.0,34.1,0.151,0.039,0.2379,0.07,21124,608600,4.91,21.28,90006,1905,0,0,1,0,6,4.0,0.6667,0,9296,3743,4072.0,4764.3333299999995,0.66667,13.33833,16.783620000000003,1.0,1.0,0.0,1,15,7,40,8,6,48,5
93010,710000,68122,128,57323539,93534,121128,43642,0.146,41780,82083,1848,2338,46063,2082.0,39.0,0.2421,0.1589,0.051,0.042,16726,635800,1.09,14.56,93010,1976,1,0,0,0,3,2.5,0.8333,2,7000,2016,2084.0,3961.0,1.83333,40.47667,39.564809999999994,1.0,0.0,1.0,2,155,2,221,37,35,80,26
95409,455000,179701,25,99401136,75571,108256,49670,0.1371,52708,62386,1621,1685,27186,708.5,53.3,0.2559,0.19699999999999998,0.024,0.046,13283,632300,3.68,22.26,95409,1959,1,0,0,0,3,2.0,0.6667,2,6480,1240,944.66667,4667.3333299999995,4.0,81.67166999999999,79.9563,1.0,1.0,1.0,2,45,0,50,9,19,8,1
92553,391500,207289,22,26246921,51516,62132,16881,0.013999999999999999,34537,37168,3777,266,76102,7508.0,28.8,0.078,0.03,0.175,0.102,19531,271800,2.88,31.59,92553,1984,1,0,0,0,3,2.0,0.6667,2,6970,1272,3893.125,4947.75,1.0,19.6825,21.36925,1.0,1.0,1.0,0,21,1,31,4,6,23,4
94132,1650000,874961,4,8054487,84349,116690,40815,0.151,32088,65348,1730,1561,31436,10110.0,33.0,0.3171,0.193,0.066,0.085,11012,986500,7.95,53.03,94132,1956,1,0,0,0,3,3.0,1.0,0,2495,1595,1543.0,4570.3333299999995,3.66667,72.41667,71.34728,1.0,0.0,1.0,2,27,0,32,2,9,16,2
92602,892000,273157,14,26997248,100745,134758,47380,0.192,18008,47083,1007,1544,23238,2230.0,36.5,0.3818,0.313,0.10400000000000001,0.037000000000000005,8424,852600,0.49,12.53,92602,1999,1,0,0,0,3,2.5,0.8333,2,3850,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,33,0,53,9,10,13,5
94133,975000,874961,4,1955596,69756,128389,63870,0.203,50500,21788,3443,2641,26796,35500.0,42.5,0.301,0.192,0.1071,0.057,14879,1433000,7.95,53.03,94133,1912,0,0,1,0,12,6.0,0.5,0,2622,0,1020.2,5174.2,4.0,79.138,77.23266,1.0,1.0,0.0,0,0,2,1,1,2,4,0
94521,706500,129183,45,33601243,106938,123650,46687,0.1691,71085,75158,1540,2687,43281,3336.0,42.3,0.29600000000000004,0.131,0.031,0.048,16499,603600,3.67,41.0,94521,1990,0,1,0,0,3,2.5,0.8333,2,2816,1634,1659.8333300000002,4058.0,2.83333,57.55333,55.15212,1.0,1.0,1.0,0,52,0,83,10,18,15,2
92648,878000,200259,23,20822799,95857,136946,59206,0.18,63523,75612,2227,3525,46228,5748.0,43.2,0.289,0.168,0.024,0.039,21182,920500,1.96,21.28,92648,1973,1,0,0,0,3,2.0,0.6667,2,4256,1349,364.6,4443.0,4.4,91.68,91.63835,1.0,1.0,1.0,44,56,4,105,16,15,55,7
94158,1775000,874961,4,1800349,156856,180672,96624,0.3591,125994,11717,726,1602,8455,12160.0,34.4,0.3582,0.3782,0.066,0.023,5114,1061700,7.95,53.03,94158,2012,0,1,0,0,2,2.0,1.0,0,122891,1492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0,8,1,2,12,1
91104,600000,141258,40,9856461,77919,109067,39342,0.156,50464,45405,2574,2055,37874,9950.0,40.5,0.257,0.188,0.094,0.043,13972,744000,2.81,24.71,91104,1916,1,0,0,0,2,1.0,0.5,0,8830,988,2944.66667,4570.3333299999995,2.0,43.65333,42.25562,1.0,0.0,1.0,0,16,14,35,13,4,8,0
90505,1250000,145492,39,15005471,99764,126777,48929,0.163,64479,65938,1487,2281,37220,6424.0,41.9,0.35600000000000004,0.21,0.036000000000000004,0.034,14808,863300,1.05,17.73,90505,1961,1,0,0,0,4,2.0,0.5,2,6271,2056,415.75,4252.0,4.75,90.6675,91.23773,1.0,1.0,0.0,5,27,0,35,0,3,9,1
92105,800000,1409573,2,14423444,43282,56959,18647,0.013999999999999999,39333,28255,6336,318,73623,13224.0,31.5,0.109,0.046,0.2329,0.084,23329,398400,3.81,19.59,92105,1959,0,0,1,0,2,2.0,1.0,0,7000,1008,3555.5555600000002,5041.222220000001,1.55556,31.24111,30.17328,1.0,1.0,1.0,0,23,2,52,2,11,36,4
95111,860000,1027690,3,14045118,73093,96689,26761,0.099,46800,45097,2425,1598,61830,11400.0,34.8,0.153,0.05,0.095,0.051,16481,569300,3.21,24.34,95111,2005,1,0,0,0,3,2.5,0.8333,2,3361,1874,2464.5555600000002,4358.11111,2.33333,47.37222,44.36057,1.0,1.0,1.0,4,44,0,81,12,20,38,10
92532,500000,65817,135,46746478,87636,99116,28592,0.06,80694,47045,778,427,25923,1436.0,32.0,0.1909,0.076,0.102,0.057,7897,371000,2.18,28.33,92532,2017,1,0,0,0,4,3.0,0.75,3,10019,2380,1701.6666699999998,4667.3333299999995,3.16667,64.44667,60.00756,1.0,1.0,1.0,0,15,0,21,3,6,5,0
94131,373732,874961,4,5379809,151607,197576,89920,0.3691,95164,79766,931,4806,29523,14216.0,41.5,0.3582,0.376,0.027000000000000003,0.038,13768,1273400,7.95,53.03,94131,1975,0,1,0,0,1,1.0,1.0,0,2809,684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,1,6,3,4,6,1
90042,1085000,3966936,1,12036777,64267,87211,30575,0.078,30776,38672,3891,1641,63193,13600.0,35.8,0.213,0.11,0.113,0.068,22061,627200,4.91,21.28,90042,1983,0,0,1,0,6,4.0,0.6667,4,6316,2358,3158.0,4875.0,1.75,37.71125,36.22587,1.0,0.0,1.0,0,16,11,58,3,15,36,1
92553,382000,207289,22,26246921,51516,62132,16881,0.013999999999999999,34537,37168,3777,266,76102,7508.0,28.8,0.078,0.03,0.175,0.102,19531,271800,2.88,31.59,92553,1989,1,0,0,0,3,2.0,0.6667,2,5227,1175,3893.125,4947.75,1.0,19.6825,21.36925,1.0,1.0,1.0,0,21,1,31,4,6,23,4
93455,625000,106224,67,279997957,88874,106562,36645,0.092,64149,55362,1257,1434,46175,427.0,37.8,0.188,0.09699999999999999,0.035,0.055,16155,418500,4.27,29.6,93455,2006,1,0,0,0,3,2.0,0.6667,0,10454,0,2136.14286,3866.14286,2.1428599999999998,43.09857,40.60358,1.0,1.0,1.0,1,94,5,151,25,41,51,21
95758,378133,170825,30,33338334,85221,99677,33626,0.07,39417,64386,2439,1512,65811,5110.0,37.4,0.245,0.121,0.067,0.066,22334,369200,3.82,18.85,95758,1996,1,0,0,1,3,2.5,0.8333,2,1897,1691,1792.11111,4635.0,3.0,60.4,56.045390000000005,1.0,1.0,1.0,1,47,2,61,4,15,14,6
93314,362000,377917,9,256280508,111635,136045,44163,0.1809,58393,62257,645,1671,28963,292.8,36.3,0.2009,0.126,0.028999999999999998,0.054000000000000006,9670,384000,4.57,39.72,93314,1990,1,0,0,0,3,2.0,0.6667,2,11665,1704,1461.4,4443.0,3.2,66.31,62.16189,1.0,1.0,1.0,0,80,1,154,26,6,13,10
94061,2515000,85784,97,9998760,112609,161855,59285,0.276,135625,74130,1088,3844,39023,10110.0,37.0,0.252,0.226,0.036000000000000004,0.027000000000000003,14424,1342600,2.37,21.11,94061,1959,1,0,0,0,4,2.0,0.5,2,8829,1800,2174.0,5789.0,3.25,62.445,58.872519999999994,1.0,0.0,0.0,0,16,0,23,0,4,6,1
95618,660000,68543,127,90471925,93643,132665,47417,0.2191,19677,86949,1627,2123,27519,788.0,31.7,0.305,0.4219,0.076,0.047,10233,665200,1.27,21.93,95618,1996,1,0,0,0,3,2.5,0.8333,2,3485,1425,518.0,2715.0,4.0,80.92,78.5269,0.0,1.0,0.0,1,61,2,95,15,10,25,8
94578,710000,90025,90,11624988,66450,85063,31265,0.055999999999999994,45982,49457,2231,808,41865,9330.0,35.2,0.1859,0.069,0.094,0.07,15174,545000,4.16,42.36,94578,1945,1,0,0,0,3,2.0,0.6667,0,6615,1320,4433.0,5789.0,1.33333,23.42333,24.77629,1.0,0.0,0.0,1,20,1,51,4,11,19,6
92081,775000,100686,75,22990917,82989,98388,36173,0.066,29327,56693,1044,674,29596,3334.0,35.9,0.22,0.121,0.038,0.049,10598,550300,3.48,17.27,92081,1991,1,0,0,0,5,3.0,0.6,3,5168,2563,1254.0,3961.0,3.5,70.535,66.00379000000001,1.0,0.0,1.0,2,68,1,90,16,20,19,4
95205,360000,309228,13,23535697,36444,49502,14808,0.013999999999999999,30828,32074,3417,153,38350,4220.0,29.3,0.035,0.013000000000000001,0.25,0.105,11565,161200,13.31,43.9,95205,2005,1,0,0,0,4,2.0,0.5,2,5602,1948,3988.5555600000002,4976.55556,1.11111,23.224439999999998,24.42969,1.0,0.0,1.0,5,22,0,40,11,3,15,6
93612,225000,109160,64,16936951,44105,58679,23444,0.012,21779,38277,3441,164,35140,5372.0,33.0,0.126,0.06,0.1641,0.076,14177,209000,2.14,30.43,93612,1966,1,0,0,0,2,2.0,1.0,0,6426,1053,1836.4,5174.2,3.2,66.748,62.91543000000001,1.0,1.0,0.0,1,65,1,106,18,11,35,11
93637,299000,64833,140,700619017,56462,72298,22691,0.027999999999999997,41286,42026,2171,352,41108,152.0,31.0,0.098,0.034,0.131,0.071,13264,244300,6.54,26.55,93637,2004,1,0,0,0,4,2.0,0.5,2,7170,2015,4103.75,5789.0,1.5,29.11125,28.21933,1.0,0.0,0.0,0,42,0,74,19,14,25,6
93033,615000,208154,21,75924089,63204,74403,17308,0.028999999999999998,49583,48393,2364,499,84701,2890.0,30.4,0.085,0.018000000000000002,0.157,0.055999999999999994,17906,402100,4.33,31.26,93033,1959,1,0,0,0,5,3.0,0.6,2,6600,1788,3862.77778,4358.11111,0.77778,13.747779999999999,16.903660000000002,1.0,1.0,1.0,16,42,4,63,14,16,17,8
95765,790000,64835,139,31917341,108188,127121,42759,0.158,40663,60830,954,2044,39214,3182.0,36.6,0.336,0.172,0.026000000000000002,0.04,13227,512900,0.83,17.21,95765,2000,1,0,0,0,4,3.5,0.875,3,9749,3268,904.625,5404.75,4.375,83.8125,83.88023000000001,1.0,1.0,0.0,1,57,0,110,10,13,18,8
94602,675000,425097,8,8560760,95479,133103,53343,0.213,58122,64886,1495,2513,30162,9130.0,42.0,0.26899999999999996,0.24600000000000002,0.059000000000000004,0.048,12562,835400,16.85,59.43,94602,1913,1,0,0,0,3,1.0,0.3333,0,4560,931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,1,21,3,6,15,1
93637,298000,64833,140,700619017,56462,72298,22691,0.027999999999999997,41286,42026,2171,352,41108,152.0,31.0,0.098,0.034,0.131,0.071,13264,244300,6.54,26.55,93637,2000,1,0,0,0,2,2.5,1.25,0,4330,0,4103.75,5789.0,1.5,29.11125,28.21933,1.0,0.0,0.0,0,42,0,74,19,14,25,6
93010,400000,68122,128,57323539,93534,121128,43642,0.146,41780,82083,1848,2338,46063,2082.0,39.0,0.2421,0.1589,0.051,0.042,16726,635800,1.09,14.56,93010,1983,0,1,0,0,2,2.0,1.0,2,960,960,2084.0,3961.0,1.83333,40.47667,39.564809999999994,1.0,0.0,1.0,2,155,2,221,37,35,80,26
93301,130000,377917,9,10828999,33324,57233,22774,0.026000000000000002,27352,29327,1792,121,12325,2948.0,30.2,0.12300000000000001,0.07400000000000001,0.319,0.19,5322,214500,4.57,39.72,93301,1983,0,1,0,0,3,2.5,0.8333,2,1058,1368,2265.0,4875.0,2.75,53.055,53.240880000000004,1.0,0.0,1.0,0,4,1,6,3,2,4,0
95337,680000,79129,110,117669006,83933,98932,31346,0.086,52500,49922,1660,1037,39177,862.5,35.0,0.131,0.064,0.07200000000000001,0.069,12603,418100,2.41,28.75,95337,2008,1,0,0,0,4,4.0,1.0,2,7020,3230,2367.6,5057.8,2.8,50.488,48.57649,1.0,0.0,1.0,0,62,1,93,9,11,23,5
93012,440000,68122,128,135797345,102480,137249,51692,0.187,41780,63283,1445,2468,36052,687.5,44.5,0.297,0.17800000000000002,0.036000000000000004,0.05,13838,624300,1.09,14.56,93012,1977,1,0,0,0,2,2.0,1.0,2,2613,1070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,118,2,147,39,35,31,10
92025,670000,151300,38,57270361,58273,83601,26859,0.073,41776,46827,3050,1161,52985,2396.0,33.0,0.1609,0.08800000000000001,0.168,0.05,16552,499400,3.42,20.2,92025,1977,1,0,0,0,3,2.0,0.6667,0,18480,2034,2929.0,4388.42857,2.1428599999999998,39.79286,39.20159,1.0,1.0,1.0,0,58,7,93,18,31,52,19
91709,830000,80701,106,88536481,106347,123380,39607,0.156,66458,70280,2013,3936,80701,2360.0,38.0,0.31,0.156,0.044000000000000004,0.049,26565,622300,0.79,13.38,91709,1987,1,0,0,0,4,3.0,0.75,3,6412,2121,1181.0,4635.0,3.44444,71.26,70.81411,1.0,1.0,1.0,2,112,3,129,34,75,32,12
90023,442000,3966936,1,10940489,42972,54607,15094,0.019,44188,24664,3333,224,46680,11050.0,31.4,0.048,0.018000000000000002,0.221,0.076,12216,427300,4.91,21.28,90023,1924,0,1,0,0,2,2.0,1.0,0,2499,949,3371.0,4827.57143,1.71429,33.58429,32.61264,1.0,1.0,1.0,1,16,6,30,6,10,27,9
93704,220000,525010,5,14197035,60109,76825,30372,0.055,30779,49474,2349,624,29740,5424.0,35.6,0.192,0.12300000000000001,0.11699999999999999,0.07200000000000001,12048,262000,4.64,41.12,93704,1963,1,0,0,0,2,1.0,0.5,0,6426,1117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,4,27,10,10,9,4
93720,375000,525010,5,25684065,89671,109456,43160,0.113,48095,68317,1871,2040,47081,4748.0,37.3,0.289,0.1891,0.053,0.049,18769,333000,4.64,41.12,93720,1997,1,0,0,0,3,2.0,0.6667,0,6200,1449,690.8888900000001,5041.222220000001,4.22222,85.46889,85.03058,1.0,1.0,1.0,0,70,0,114,9,14,36,11
92602,1370000,273157,14,26997248,100745,134758,47380,0.192,18008,47083,1007,1544,23238,2230.0,36.5,0.3818,0.313,0.10400000000000001,0.037000000000000005,8424,852600,0.49,12.53,92602,2000,1,0,0,0,4,2.5,0.625,2,5381,2843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,33,0,53,9,10,13,5
95136,665000,1027690,3,12072092,112074,138183,46997,0.213,64531,71262,1204,3350,47476,10184.0,36.3,0.293,0.1609,0.05,0.039,16163,798300,3.21,24.34,95136,1988,0,1,0,0,2,2.0,1.0,2,1315,992,2513.0,4570.3333299999995,1.83333,41.57833,38.52871,1.0,0.0,1.0,1,76,0,97,8,19,34,5
95405,925000,179701,25,14183939,89876,109470,44312,0.09300000000000001,68750,65563,842,757,21082,3850.0,45.9,0.262,0.2,0.042,0.043,8850,613400,3.68,22.26,95405,1955,1,0,0,0,3,4.0,1.3333,0,10000,2387,1564.8,4443.0,3.0,61.95399999999999,58.6438,1.0,1.0,1.0,0,12,0,20,2,2,13,1
91214,640000,200232,24,19545239,104981,127997,43954,0.195,125547,65111,1197,2017,30787,4080.0,44.0,0.355,0.187,0.036000000000000004,0.036000000000000004,10912,777300,0.94,15.59,91214,1941,1,0,0,0,2,1.0,0.5,0,5442,734,510.5,4570.3333299999995,4.5,89.72667,89.58088000000001,1.0,0.0,1.0,0,28,0,43,6,9,3,1
94518,892000,129183,45,14090593,95875,115956,44206,0.1321,62365,71495,1006,1401,28734,5280.0,42.2,0.275,0.14300000000000002,0.068,0.047,10883,597300,3.67,41.0,94518,1960,1,0,0,0,3,2.0,0.6667,2,15000,2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,63,0,100,12,26,24,5
94579,830000,90025,90,8100074,88991,105123,34885,0.13,53866,49974,789,885,21883,6996.0,42.5,0.195,0.1,0.073,0.047,7040,585100,4.16,42.36,94579,1951,1,0,0,0,3,2.0,0.6667,2,5035,1577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,0,21,3,7,6,1
94520,665000,129183,45,25392999,60652,77753,28893,0.038,53646,45913,2483,519,38753,3952.0,34.8,0.185,0.069,0.11800000000000001,0.05,14233,418400,3.67,41.0,94520,1960,1,0,0,0,3,2.0,0.6667,2,6000,1103,3527.0,4875.0,1.25,28.2975,29.60496,1.0,0.0,1.0,2,35,1,75,13,15,61,14
95212,470000,309228,13,55851983,95759,107104,27443,0.083,102981,63566,776,599,29426,1365.0,33.6,0.1909,0.076,0.059000000000000004,0.063,7641,353300,13.31,43.9,95212,2003,1,0,0,0,4,2.0,0.5,0,7998,1869,2302.33333,4293.44444,2.55556,50.68333,48.75895,1.0,1.0,1.0,0,16,0,21,4,3,6,0
94568,1425000,61240,150,39597841,146103,175027,60320,0.3171,75833,72703,1009,5906,55608,3638.0,36.7,0.38,0.271,0.028999999999999998,0.036000000000000004,19392,847400,1.3,14.83,94568,2000,1,0,0,0,4,2.5,0.625,2,4011,2800,360.875,4947.75,4.75,93.25875,92.59046,1.0,1.0,1.0,0,22,1,29,7,3,15,3
90280,480000,94642,80,18920097,52321,65785,18031,0.02,43889,37945,4588,475,94642,12950.0,31.9,0.071,0.023,0.1539,0.096,24601,408200,5.27,28.0,90280,1946,1,0,0,0,2,1.0,0.5,0,7654,1192,2700.33333,5382.777779999999,2.44444,52.291109999999996,48.6821,1.0,0.0,1.0,1,31,1,34,7,11,26,9
95833,400000,500930,6,20071718,63418,82805,31358,0.057,36524,60625,2162,830,39905,5148.0,31.5,0.212,0.1,0.08900000000000001,0.061,15414,293400,6.15,31.23,95833,1981,1,0,0,0,4,2.0,0.5,2,5663,1487,3371.0,4947.75,1.625,32.90375,32.61805,1.0,1.0,1.0,0,22,0,31,0,6,10,1
92833,630000,139611,42,18965368,82465,103997,33715,0.109,46629,64088,1881,1772,52435,7160.0,37.6,0.2742,0.14400000000000002,0.061,0.067,16733,634900,2.42,22.92,92833,1929,1,0,0,0,3,2.0,0.6667,2,6125,1278,1791.625,4563.5,3.0,62.29375,61.23376,1.0,1.0,1.0,2,46,2,75,8,21,24,12
92508,530000,326414,12,27766005,116976,127343,35274,0.141,41437,62443,679,1415,38428,3584.0,34.2,0.19,0.1589,0.047,0.05,10351,463900,4.33,30.88,92508,1989,1,0,0,0,4,3.0,0.75,3,5227,2131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27,0,47,5,5,2,4
92081,593895,100686,75,22990917,82989,98388,36173,0.066,29327,56693,1044,674,29596,3334.0,35.9,0.22,0.121,0.038,0.049,10598,550300,3.48,17.27,92081,2020,0,1,0,1,3,3.5,1.1667,2,6677,1726,1254.0,3961.0,3.5,70.535,66.00379000000001,1.0,0.0,1.0,2,68,1,90,16,20,19,4
92883,585000,166972,31,144238306,111149,128883,39546,0.153,35058,68534,803,1607,35933,645.0,38.0,0.188,0.124,0.037000000000000005,0.046,11137,472300,1.06,21.35,92883,2015,1,0,0,0,4,2.5,0.625,3,5663,2410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34,0,63,7,15,8,3
91732,610000,115517,53,11956829,51268,67194,18709,0.025,46520,41604,3291,397,62905,13624.0,36.0,0.111,0.023,0.1421,0.055,16558,465200,2.87,19.04,91732,1991,0,1,0,0,4,3.0,0.75,0,2513,2017,2470.2,4443.0,2.2,43.099,39.80206,1.0,1.0,1.0,2,25,4,35,7,8,11,8
92627,585000,113159,57,16510525,79790,105353,38719,0.11900000000000001,37895,49821,3192,2648,63161,9900.0,35.2,0.2479,0.124,0.094,0.046,23202,742100,2.82,30.72,92627,2008,0,1,0,0,2,1.5,0.75,1,6008,960,1908.0,3595.4,2.0,41.388000000000005,40.76681,1.0,0.0,1.0,8,20,0,43,4,12,25,4
90802,683000,466776,7,16799415,54616,72678,39665,0.044000000000000004,40938,32131,4823,904,38962,6010.0,36.4,0.257,0.155,0.14800000000000002,0.059000000000000004,22834,404100,4.89,26.4,90802,2007,0,1,0,0,2,2.0,1.0,2,33267,1040,2617.25,5020.5,2.5,47.235,42.78135,1.0,1.0,0.0,5,3,0,10,0,4,18,0
94558,595000,79074,111,922258151,93052,123939,45391,0.157,57835,72449,2498,3750,68315,191.8,42.2,0.23,0.1271,0.038,0.04,27100,645500,3.13,16.53,94558,1961,1,0,0,0,3,2.0,0.6667,2,5693,1305,2262.0,4667.3333299999995,2.5,49.553329999999995,48.22956,1.0,1.0,1.0,0,91,2,104,25,31,40,7
90222,575000,96803,77,6664307,49894,61055,16178,0.013999999999999999,18512,29792,2130,113,33200,12904.0,29.1,0.07,0.019,0.2059,0.07200000000000001,8226,352800,11.49,26.66,90222,1956,1,0,0,0,3,2.0,0.6667,2,7303,1100,2585.1,4384.8,1.9,40.82,38.75098,1.0,1.0,1.0,0,15,3,30,5,4,12,5
92054,1025000,175622,28,30979947,63404,85789,33243,0.07,54435,46622,2421,1082,41807,3496.0,34.6,0.222,0.09699999999999999,0.068,0.065,17864,598000,3.74,22.88,92054,2020,0,1,0,1,3,3.5,1.1667,2,10889,1604,2810.42857,4305.28571,1.8571400000000002,35.27143,34.159,1.0,1.0,1.0,26,33,2,65,7,11,32,3
90019,1350000,3966936,1,10070057,56389,85483,34267,0.085,29688,34846,5355,2070,64534,16590.0,38.2,0.23399999999999999,0.113,0.13,0.043,26551,932700,4.91,21.28,90019,1923,1,0,0,0,2,1.0,0.5,0,5000,1414,2977.375,4106.5,1.5,30.97125,30.71476,1.0,1.0,1.0,0,21,16,80,17,8,38,0
91708,558000,89631,92,24584714,85545,88516,16933,0.018000000000000002,45610,58025,2151,13,4009,422.2,34.7,0.1891,0.08800000000000001,0.0655,0.0515,970,568900,2.28,22.25,91708,2018,1,0,0,0,4,3.0,0.75,2,3796,2098,1672.0,5789.0,4.0,71.12,68.50253000000001,1.0,0.0,0.0,0,7,0,9,2,3,6,3
92009,870000,114253,55,32962715,138078,179020,64650,0.309,53115,86806,813,5120,46612,3662.0,42.8,0.364,0.26899999999999996,0.027000000000000003,0.049,17385,870400,1.82,15.41,92009,2001,1,0,0,0,3,2.5,0.8333,2,5223,1821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,25,0,52,7,10,9,4
92127,1525000,1409573,2,57149233,138338,177659,57388,0.331,46902,47361,1355,5232,49935,2264.0,36.8,0.3809,0.335,0.032,0.055,16249,819900,3.81,19.59,92127,2012,1,0,0,0,4,3.0,0.75,3,6902,2996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,50,5,119,20,21,24,10
94597,680000,69567,126,10127256,111750,134022,62222,0.22,64904,60379,1223,2308,23108,5908.0,39.0,0.3809,0.276,0.037000000000000005,0.037000000000000005,10684,769300,1.1,36.1,94597,1987,0,1,0,0,2,2.5,1.25,2,8669,1178,486.5,4252.0,4.0,88.925,89.36619,1.0,1.0,0.0,0,55,0,76,17,27,33,6
95356,399000,212616,19,58854174,70699,98106,35250,0.087,44583,53350,1561,993,32622,1436.0,37.9,0.16699999999999998,0.09699999999999999,0.068,0.057999999999999996,11861,341100,8.64,44.28,95356,1978,1,0,0,0,4,2.0,0.5,2,9450,1821,2257.6,5057.8,2.8,56.406000000000006,52.16004,1.0,0.0,1.0,0,101,6,137,36,17,71,23
92054,1025000,175622,28,30979947,63404,85789,33243,0.07,54435,46622,2421,1082,41807,3496.0,34.6,0.222,0.09699999999999999,0.068,0.065,17864,598000,3.74,22.88,92054,2020,0,1,0,1,3,3.5,1.1667,2,10060,1600,2810.42857,4305.28571,1.8571400000000002,35.27143,34.159,1.0,1.0,1.0,26,33,2,65,7,11,32,3
90068,1409000,3966936,1,20067144,88535,157859,86299,0.24,41391,94440,1679,2719,21092,2722.0,42.5,0.4082,0.249,0.018000000000000002,0.091,13943,1228400,4.91,21.28,90068,1941,1,0,0,0,3,3.0,1.0,2,5625,1908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22,8,23,20,22,13,2
91205,457000,200232,24,4897493,44835,66305,26661,0.047,50931,19554,4523,671,37638,19900.0,41.6,0.221,0.122,0.14400000000000002,0.073,15271,585100,0.94,15.59,91205,1986,0,1,0,0,1,1.0,1.0,1,42131,760,1803.6,5057.8,3.2,64.138,60.21001999999999,1.0,0.0,1.0,0,8,0,11,2,4,5,0
93703,235000,525010,5,12243423,33550,48020,15521,0.016,21357,29728,3859,160,32754,6930.0,29.2,0.069,0.013000000000000001,0.336,0.122,10594,159500,4.64,41.12,93703,1954,1,0,0,0,2,1.0,0.5,0,7830,1233,3365.0,4570.3333299999995,1.16667,24.225,24.15519,1.0,0.0,1.0,0,16,1,27,2,4,17,3
90077,2850000,3966936,1,18991437,209531,330006,126291,0.518,41391,160428,139,1643,8382,1143.0,48.5,0.349,0.44299999999999995,0.027999999999999997,0.044000000000000004,3791,2000001,4.91,21.28,90077,1972,1,0,0,0,5,4.5,0.9,3,11687,4198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17,1,21,5,2,2,2
91761,620000,176760,26,75482211,74072,83817,24931,0.035,42738,53299,2211,610,61425,2108.0,33.1,0.134,0.049,0.10099999999999999,0.062,17988,394000,2.56,27.66,91761,1981,1,0,0,0,4,3.0,0.75,3,7200,2172,2632.75,4563.5,2.125,44.65375,41.370490000000004,1.0,1.0,1.0,2,51,4,80,14,11,28,10
95376,511000,90675,88,19764690,82390,97309,29417,0.084,41979,56408,1614,1365,55655,7292.0,33.2,0.131,0.040999999999999995,0.076,0.054000000000000006,16877,397200,1.52,26.59,95376,2009,1,0,0,0,3,2.5,0.8333,2,2640,2070,2714.625,4563.5,2.0,39.0525,36.40985,1.0,1.0,1.0,1,69,2,116,17,10,36,9
94558,683748,79074,111,922258151,93052,123939,45391,0.157,57835,72449,2498,3750,68315,191.8,42.2,0.23,0.1271,0.038,0.04,27100,645500,3.13,16.53,94558,2020,0,1,0,1,3,2.5,0.8333,2,1243,1843,2262.0,4667.3333299999995,2.5,49.553329999999995,48.22956,1.0,1.0,1.0,0,91,2,104,25,31,40,7
93722,305000,525010,5,49805305,59028,74452,23356,0.04,41734,52783,4548,1015,84621,4400.0,30.9,0.13,0.055,0.1589,0.091,26542,241300,4.64,41.12,93722,2006,1,0,0,0,3,2.0,0.6667,0,8400,1660,3028.75,4947.75,1.75,38.86875,36.57515,1.0,1.0,1.0,0,108,1,232,32,25,66,15
