zip_code,tag_percentage
90012,"{'Diversity': 0.075, 'Dog Friendly': 0.0667, 'Food': 0.0833, 'Parks': 0.0417, 'Restaurants': 0.0667, 'Shopping': 0.0083, 'Walking': 0.05, 'Architecture': 0.0333, 'Atmosphere': 0.025, 'Clean': 0.0167, 'Downtown': 0.0667, 'Eclectic': 0.0083, 'Events': 0.0417, 'Family Friendly': 0.0333, 'Friendly': 0.05, 'Hiking': 0.0083, 'Historic': 0.05, 'Kids': 0.0083, 'Freeway Access': 0.0583, 'Walkability': 0.0417, 'Mature': 0.0083, 'Community': 0.0333, 'Beautiful': 0.0333, 'Convenient': 0.0167, 'Hills': 0.0083, 'Landscaping': 0.0083, 'Location': 0.0167, 'Urban': 0.0083, 'Neighbors': 0.0083, 'Trees': 0.0083, 'Charm': 0.0083, 'View': 0.0083}"
90013,"{'Downtown': 0.1, 'Restaurants': 0.0857, 'Walkability': 0.0857, 'Food': 0.1, 'Community': 0.0286, 'Walking': 0.0571, 'Dog Friendly': 0.0571, 'Atmosphere': 0.0429, 'Architecture': 0.0714, 'Diversity': 0.0714, 'Freeway Access': 0.0143, 'Location': 0.0143, 'Urban': 0.0286, 'Events': 0.0714, 'Friendly': 0.0286, 'Historic': 0.0571, 'Convenient': 0.0571, 'Charm': 0.0143, 'Clean': 0.0143}"
90014,{}
90015,"{'Walkability': 0.0833, 'Downtown': 0.1, 'Diversity': 0.05, 'Location': 0.05, 'Proximity': 0.05, 'Sidewalks': 0.0333, 'Urban': 0.0333, 'Walking': 0.05, 'Convenient': 0.0667, 'Events': 0.05, 'Freeway Access': 0.0333, 'Clean': 0.0167, 'Food': 0.0833, 'Friendly': 0.0167, 'Atmosphere': 0.0333, 'Transportation': 0.0333, 'Historic': 0.0167, 'Community': 0.0333, 'Restaurants': 0.0333, 'Dog Friendly': 0.0167, 'Beautiful': 0.0167, 'Eclectic': 0.0333, 'Gardens': 0.0167, 'Nature': 0.0167, 'Peaceful': 0.0167, 'Scenery': 0.0167}"
90016,"{'Diversity': 0.1, 'Family Friendly': 0.0786, 'Neighbors': 0.0571, 'Clean': 0.0286, 'Peaceful': 0.0643, 'Beautiful': 0.0214, 'Quiet': 0.0357, 'Friendly': 0.0786, 'Community': 0.0571, 'Safe': 0.0143, 'Urban': 0.0071, 'Freeway Access': 0.05, 'Convenient': 0.0429, 'Food': 0.0286, 'Walkability': 0.0571, 'Walking': 0.0357, 'Historic': 0.0357, 'Dog Friendly': 0.0571, 'Security': 0.0071, 'Welcoming': 0.0071, 'Well Maintained': 0.0071, 'Architecture': 0.0071, 'Parks': 0.0214, 'Proximity': 0.0143, 'Restaurants': 0.0214, 'Atmosphere': 0.0143, 'Events': 0.0071, 'Trees': 0.0071, 'Landscaping': 0.0071, 'Nature': 0.0071, 'Transportation': 0.0143, 'Houses': 0.0071}"
90017,"{'Food': 0.1, 'Downtown': 0.08, 'Restaurants': 0.08, 'Running': 0.02, 'Diversity': 0.1, 'Events': 0.04, 'Friendly': 0.04, 'Hiking': 0.04, 'Urban': 0.02, 'Walking': 0.1, 'Walkability': 0.06, 'Parks': 0.02, 'Freeway Access': 0.04, 'Clean': 0.02, 'Community': 0.02, 'Dog Friendly': 0.04, 'Family Friendly': 0.02, 'Location': 0.02, 'Schools': 0.02, 'Shopping': 0.02, 'Small': 0.02, 'Beautiful': 0.04, 'Convenient': 0.04}"
90018,"{'Walking': 0.0462, 'Family Friendly': 0.0769, 'Freeway Access': 0.0538, 'Walkability': 0.0231, 'Quiet': 0.0154, 'Security': 0.0077, 'Well Maintained': 0.0231, 'Community': 0.0692, 'Peaceful': 0.0538, 'Clean': 0.0077, 'Diversity': 0.0846, 'Historic': 0.0923, 'Friendly': 0.0615, 'Architecture': 0.0769, 'Dog Friendly': 0.0692, 'Food': 0.0154, 'Convenient': 0.0231, 'Neighbors': 0.0385, 'Houses': 0.0462, 'Beautiful': 0.0154, 'Charm': 0.0308, 'Parks': 0.0077, 'Downtown': 0.0077, 'Location': 0.0077, 'Pleasant': 0.0154, 'Proximity': 0.0077, 'Atmosphere': 0.0077, 'Restaurants': 0.0077, 'Urban': 0.0077}"
90019,"{'Historic': 0.0333, 'Neighbors': 0.05, 'Diversity': 0.0889, 'Friendly': 0.0722, 'Architecture': 0.0389, 'Community': 0.0667, 'Houses': 0.0167, 'Quiet': 0.0111, 'Walkability': 0.0778, 'Welcoming': 0.0167, 'Peaceful': 0.0444, 'Beautiful': 0.0611, 'Dog Friendly': 0.0944, 'Family Friendly': 0.0556, 'Charm': 0.0333, 'Clean': 0.0167, 'Trees': 0.0111, 'Walking': 0.0444, 'Food': 0.0333, 'Atmosphere': 0.0278, 'Convenient': 0.0444, 'Restaurants': 0.0333, 'Proximity': 0.0056, 'Urban': 0.0111, 'Freeway Access': 0.0056, 'Parks': 0.0056}"
90020,"{'Historic': 0.0111, 'Architecture': 0.0111, 'Charm': 0.0111, 'Walkability': 0.0778, 'Restaurants': 0.0889, 'Trees': 0.0222, 'Beautiful': 0.0222, 'Convenient': 0.0556, 'Houses': 0.0111, 'Walking': 0.0889, 'Diversity': 0.0778, 'Transportation': 0.0444, 'Urban': 0.0444, 'Dog Friendly': 0.0556, 'Food': 0.0889, 'Stores': 0.0111, 'Downtown': 0.0556, 'Friendly': 0.0222, 'Clean': 0.0111, 'Location': 0.0222, 'Sidewalks': 0.0111, 'Freeway Access': 0.0222, 'Hills': 0.0111, 'Nature': 0.0111, 'Parks': 0.0222, 'River': 0.0111, 'Scenery': 0.0111, 'Shopping': 0.0333, 'Family Friendly': 0.0222, 'Peaceful': 0.0111}"
90021,"{'Clean': 0.1, 'Community': 0.05, 'Dog Friendly': 0.05, 'Events': 0.025, 'Freeway Access': 0.025, 'Friendly': 0.075, 'Nature': 0.05, 'Open': 0.05, 'Peaceful': 0.025, 'Well Maintained': 0.025, 'Beach': 0.05, 'Beautiful': 0.05, 'Downtown': 0.075, 'Golf': 0.025, 'Nice': 0.025, 'Parks': 0.025, 'Historic': 0.025, 'Charm': 0.025, 'Diversity': 0.05, 'Eclectic': 0.05, 'Food': 0.05, 'Shopping': 0.025, 'Architecture': 0.025, 'Different': 0.025}"
90022,"{'Family Friendly': 0.0786, 'Dog Friendly': 0.05, 'Food': 0.0571, 'Freeway Access': 0.0786, 'Friendly': 0.0714, 'Neighbors': 0.0643, 'Diversity': 0.0286, 'Quiet': 0.0214, 'Restaurants': 0.0143, 'Schools': 0.0214, 'Beautiful': 0.0286, 'Convenient': 0.0357, 'Houses': 0.0071, 'Parks': 0.0429, 'Running': 0.0214, 'Community': 0.0357, 'Transportation': 0.0286, 'Kids': 0.0071, 'Location': 0.0214, 'Mature': 0.0071, 'Nice': 0.0143, 'Hills': 0.0071, 'View': 0.0071, 'Atmosphere': 0.0071, 'Peaceful': 0.0143, 'Proximity': 0.0143, 'Shopping': 0.0214, 'Events': 0.0214, 'Walkability': 0.0214, 'Walking': 0.0357, 'Beach': 0.0143, 'Clean': 0.0286, 'Hiking': 0.0071, 'Landscaping': 0.0071, 'Pleasant': 0.0071, 'Charm': 0.0071, 'Welcoming': 0.0071, 'Different': 0.0071, 'Sidewalks': 0.0143, 'Safe': 0.0071, 'Urban': 0.0071}"
